TCGA_barcode	42MGBA	8MGBA	A172	AM38	CAS1	CCFSTTG1	DBTRG05MG	DKMG	GAMG	GB1	GMS10	GOS3	KALS1	KG1C	KNS42	KNS60	KNS81	KS1	LN18	LN229	M059K	SF126	SF295	SNU1105	SNU201	SNU466	SNU489	SNU626	T98G	U118MG	U251MG	U87MG	YH13	YKG1
TCGA-06-5412-01	0.539717084254586	0.549343469256098	0.527695031319295	0.479240259220178	0.604835893087673	0.571046640592349	0.586912689869554	0.586595375939365	0.539757747508634	0.529632968736315	0.55487578645476	0.560253984862926	0.570926022422785	0.566780615177904	0.562472963858309	0.510726176224355	0.575720153336362	0.502058283541981	0.540073148093035	0.552695013173518	0.514029454486314	0.525942486045234	0.521024024688255	0.573504173367317	0.63623657311052	0.579514493475143	0.592995126643341	0.592513891483138	0.524837980774721	0.522154741825921	0.591483527929863	0.526781891514397	0.542078077265529	0.59410913378986
TCGA-06-5413-01	0.526533560117524	0.525887008556183	0.523831914637148	0.442101164145004	0.610424523103464	0.556353190690472	0.573751795111554	0.579271200835469	0.521174988073125	0.50975519660318	0.548824116318165	0.557852226536298	0.557373492903027	0.543226876631126	0.551619787563679	0.491835619288701	0.574339200419279	0.475581945705128	0.521634760146064	0.536245666666264	0.496124611203484	0.508631565951069	0.496121126919406	0.564192869467924	0.631126895091821	0.565680226004522	0.592415183740803	0.61634198564459	0.515398630749218	0.49109810740681	0.573215469066915	0.496667193558595	0.533221946337609	0.579112657069981
TCGA-06-5414-01	0.577962121124405	0.571432145942122	0.56961058226769	0.493724478462982	0.645392128828088	0.604335329184219	0.602215351272321	0.616805862687575	0.570044217293672	0.565750285002893	0.598239819449462	0.602549759723313	0.610273271528748	0.600284650692322	0.600211460409081	0.54015561756816	0.61788054888756	0.53793878454192	0.562740835860646	0.585725228108057	0.548956965368037	0.56206381809264	0.539784663183654	0.605800725410988	0.667946753984328	0.623023919366475	0.624483011659099	0.641869404232822	0.572466701320891	0.552693567345972	0.626861800932112	0.554231266792739	0.57382438820621	0.620673977804857
TCGA-06-5416-01	0.517494997397608	0.512749524589206	0.502084447810896	0.446279941707792	0.571998567577343	0.536233220764894	0.555255387396799	0.545530173668864	0.517982790068635	0.484831174631434	0.511931247404768	0.510825935211491	0.542002020854633	0.53728617915895	0.539184298365205	0.477050958051611	0.529743747803479	0.468949215501847	0.491617479836259	0.535201079802191	0.480944792764846	0.481611107794143	0.484627152079301	0.548557851328098	0.603306818488622	0.56302603239224	0.561663034442948	0.543770696473753	0.479547375703719	0.484739772581325	0.550314638609554	0.497347347955854	0.513543784615647	0.563768092466241
TCGA-06-5418-01	0.57644935345573	0.569447291735184	0.574639669601897	0.492092460014792	0.652606371922138	0.617294909140423	0.613890771085803	0.631791932449853	0.569319716826317	0.566854600329556	0.591141702693019	0.606067714154075	0.61665605254999	0.603676052823698	0.604078810023291	0.544213339828152	0.619341222712957	0.534533921745437	0.557873032384608	0.583884263930487	0.544402521955884	0.564263498890173	0.546137942222517	0.617913093216863	0.68134178582836	0.62779230841013	0.636651503044962	0.649229925607768	0.564529321138888	0.551699451464014	0.631944164607164	0.558661673516227	0.584319811036161	0.62907136422851
TCGA-06-5856-01	0.541069829173656	0.557893681832605	0.552858095323696	0.485546849092792	0.629598160540485	0.580511904484745	0.603273278281376	0.609496229217236	0.552250780546138	0.540084771942494	0.575123348384091	0.591671808784454	0.585305699015736	0.587447356600497	0.589844978657691	0.519801978961745	0.606331197472151	0.511551704589935	0.541621921222996	0.565629565039106	0.531519530774031	0.527577879038975	0.527728034272935	0.595527320693468	0.665755779773623	0.599323780970211	0.619109138835306	0.616527593974773	0.536805015282895	0.538939329460858	0.622976959322401	0.545006046289838	0.560434065018846	0.607775042162081
TCGA-06-5858-01	0.548084058663634	0.580110136178595	0.548961538408866	0.488598650110257	0.626500743023399	0.587244246373805	0.614155665989746	0.613250382013797	0.566362644139558	0.539382992815927	0.586793983295479	0.590285033146797	0.598544230311395	0.592359916826293	0.597318768558586	0.529519041696623	0.61351570468788	0.522221582507208	0.535280498115264	0.577946989212678	0.543110253751533	0.537353083425454	0.536094024633374	0.599928089535531	0.669303770727106	0.605862858185796	0.624535665069327	0.629430772179272	0.530496170901426	0.54864448715584	0.626633488763813	0.551477840568824	0.576392306359822	0.615813087678805
TCGA-06-5859-01	0.50030033767482	0.521252535377036	0.50230825383941	0.439171778897374	0.579622390797327	0.537760804434795	0.571238353705311	0.568291753747419	0.503558784877593	0.513003185303649	0.532817266411399	0.568186011146292	0.531640414441471	0.545110420457752	0.570890747663868	0.490324735777432	0.574722613714049	0.467081043344655	0.506072547764707	0.52920990690286	0.483681889947207	0.49353046743837	0.482695540028805	0.539831610307269	0.631518492469772	0.546313529041642	0.571832881388094	0.614410630762831	0.506679016645429	0.487846986197412	0.588372006697208	0.485816121842334	0.513851227337535	0.55572152784035
TCGA-08-0386-01	0.528453468406764	0.550450003188981	0.542315012374366	0.473138237878957	0.600296584823417	0.566638847426471	0.586794689443918	0.580486903046718	0.529574663592668	0.532790129386702	0.557811664186278	0.586225474125158	0.562971871968815	0.564995320329659	0.569103748966613	0.513564504605371	0.586006206179855	0.493869796112087	0.522819552669723	0.537442465281672	0.508286693504355	0.517960656945297	0.503019646450936	0.571960505234693	0.647620075494548	0.578005477460042	0.603701451457	0.624528013819122	0.523996269764111	0.517271132292039	0.598192162502988	0.517407827913094	0.537642123075689	0.584801009337686
TCGA-12-0616-01	0.553124454021959	0.548139178762876	0.543609584570943	0.464953251166223	0.626862857799543	0.589324270879125	0.594037518491382	0.597488323646558	0.553909527797969	0.532160463324679	0.558710294183484	0.572637344480758	0.593200590546688	0.569644933125371	0.575343651228933	0.516547278290518	0.592511659421442	0.51239303573093	0.540778784096152	0.579076349803824	0.523075072381446	0.532126189508938	0.529254380005381	0.591203750072685	0.642917804820094	0.602681496343099	0.605014203523731	0.6117298486919	0.536520314082945	0.510866167521405	0.600488196767461	0.520600990077978	0.559820825696554	0.608487647736409
TCGA-12-0618-01	0.514506214509715	0.51836399992329	0.509116413416685	0.44732792404283	0.595577557276601	0.54942664731864	0.571190768178905	0.562748197818912	0.515591215354522	0.508192882756396	0.522051062858713	0.547133255591702	0.543931038700563	0.545682817318452	0.559262905269125	0.478970966801867	0.560426977006111	0.466973531872236	0.517502785583908	0.534287881135704	0.491314754139612	0.492536705693922	0.489801638907041	0.560786217635243	0.61873444804268	0.571349313330997	0.584038318358032	0.57221989873412	0.502562931133321	0.485691300979665	0.573163559928317	0.489820052099813	0.521586177247557	0.564121637994478
TCGA-12-0619-01	0.58963050255011	0.602005405068505	0.590796475090748	0.497545603488137	0.664481579475231	0.631208501323823	0.623630370630246	0.636868564348829	0.587901387810365	0.582366625842138	0.625718365426401	0.629929658854801	0.641329859987869	0.61523938958755	0.62524513958116	0.559738343772349	0.636928902158064	0.546198567495095	0.577982723399499	0.595352262485194	0.573201169175705	0.572733471464863	0.572737447253158	0.634879548951297	0.700871720269328	0.624780950032464	0.659804028618802	0.670048110098034	0.58243766536219	0.563311658913755	0.657525367132244	0.568712652080997	0.598106453059613	0.642207372549408
TCGA-12-0821-01	0.515526816281594	0.532546813040733	0.521165857809895	0.458896254094432	0.588725965930741	0.544780316835163	0.576586880873708	0.569245940039162	0.528358402043562	0.495930601529506	0.529340776783252	0.548129932554994	0.54405492173662	0.534038244636931	0.54806995191915	0.500595501442943	0.567570622191939	0.47515405907759	0.517583067442316	0.535170597628716	0.506126615526716	0.507093037174574	0.499651207469741	0.562590201314055	0.625741072656162	0.55076796759521	0.587550584268075	0.590924257747283	0.505141662740896	0.501317112378941	0.577781381062233	0.506285891363163	0.540706937666429	0.578849252739628
TCGA-12-3650-01	0.506624600318193	0.503689383832498	0.502105712916311	0.43496669556862	0.575366307874715	0.537355714076031	0.552931211919693	0.542812355707358	0.500140367333856	0.491479343041862	0.52095816723916	0.532338339966247	0.537139519572957	0.533471405951108	0.53363850963719	0.467401551776794	0.542197880759295	0.464864791768939	0.500678935103094	0.514548807374016	0.474297477167403	0.48660313019482	0.473223503094277	0.54124626138026	0.599699932576505	0.558718411690468	0.560322043648644	0.566828024082359	0.48954653987712	0.472475696798348	0.555484261315298	0.479295618592968	0.506240321458173	0.564735175972711
