TCGA_barcode	253J	253JBV	5637	639V	647V	BC3C	BFTC905	CAL29	HS172T	HT1197	HT1376	J82	JMSU1	KMBC2	KU1919	RT112	RT4	SCABER	SW1710	SW780	T24	TCCSUP	UBLC1	UMUC1	UMUC3	VMCUB1
TCGA-GC-A3RC-01	0.52999340373952	0.528710497916778	0.72195975318027	0.574662751060246	0.666144548376505	0.668532420606108	0.737688426087538	0.756309396897549	0.569639703593745	0.637496647417064	0.643896045692462	0.614258262649653	0.544630156871406	0.729145318330742	0.629612334649671	0.745105011300011	0.702650839132723	0.741054497309972	0.575559051387881	0.704133441693403	0.636941594035263	0.600036927837517	0.617395091732852	0.72258521503878	0.542337936932148	0.649994205855516
TCGA-GC-A3RD-01	0.505762736554266	0.500681544326745	0.633837723786734	0.538859317048037	0.619133061321158	0.592969323300962	0.69814936634522	0.744223450239899	0.520125389353945	0.605706291613562	0.631920790679	0.54895727447408	0.512579722738538	0.727624993259027	0.624391995638219	0.748820760689023	0.719226291156672	0.647669331184091	0.527683115843135	0.732636354699753	0.577515473681952	0.570562744429197	0.595528353270391	0.715257392414965	0.495629246978294	0.620740140071492
TCGA-GC-A3WC-01	0.542992687992514	0.537022918686338	0.612354259812199	0.52404269336349	0.569408183672049	0.656310741564561	0.670610794279638	0.703263988229295	0.555479340701476	0.584846936940779	0.614680209439142	0.563498890727857	0.54243814568125	0.677783221385053	0.595141244282763	0.711129693667022	0.714473744956546	0.666245931772681	0.550889786389641	0.703651254148074	0.587562182894517	0.57714790483988	0.598744198325921	0.672902716140607	0.513366702022655	0.656266383334432
TCGA-GC-A3YS-01	0.560913773683512	0.553064042284233	0.696048427511138	0.582484727381141	0.664767256174112	0.660869202610124	0.743876525458644	0.762189130500558	0.602893985575388	0.643630159099685	0.67158355312801	0.615709494124592	0.57570013418925	0.734044804692206	0.650480020975475	0.747307326445131	0.742641688850413	0.721961692178298	0.590442212160564	0.739385812002081	0.635623084586406	0.626307770233028	0.659779298318012	0.725360531558211	0.55964508099909	0.687150866012772
TCGA-GC-A4ZW-01	0.546969739444485	0.547081210166713	0.642102938076983	0.582907250316822	0.65168124432466	0.617887060422024	0.655191534848509	0.686975277901539	0.544726934037883	0.576605371839005	0.560395054149243	0.604332115176579	0.553069084846329	0.698463808989812	0.604495564285819	0.67564078037427	0.669820135111037	0.607633827299473	0.566187467733189	0.659774184637818	0.601854798752592	0.600419531508171	0.609359947598342	0.676658285110254	0.524084115757854	0.581472602183715
TCGA-GC-A6I1-01	0.522705966207896	0.525361185442429	0.675093507286328	0.595802014198434	0.656054998250932	0.645845479885115	0.74926630892105	0.742114533794929	0.52255986931084	0.623697274510923	0.643645648953761	0.57928580979073	0.555090608821366	0.718728817317308	0.647720777468421	0.72877959858907	0.698643050334196	0.717581063638717	0.562489611029097	0.705051979473906	0.63126732483654	0.598818820165038	0.605335056308399	0.711060732488858	0.540936463023929	0.667045264015294
TCGA-GC-A6I3-01	0.505517072577831	0.502041479885474	0.57012371226729	0.518990959516693	0.559400815330642	0.538362656282334	0.614366258109419	0.663913245373313	0.477302786582452	0.545868968634547	0.549353036844973	0.515643739681815	0.483853154546172	0.664789334650858	0.578802649758044	0.682351109408134	0.719987214302623	0.559100171499892	0.521570711117356	0.703692012630427	0.559657692889022	0.535443020285452	0.555913912852524	0.647904741323619	0.482356100651184	0.552163250767371
TCGA-GD-A2C5-01	0.508215240674835	0.504982264230499	0.61093363519198	0.524265687677121	0.601059773795589	0.590675130064335	0.65789389675286	0.728578907848956	0.577152248488971	0.602248350850169	0.606260667923305	0.576294649859918	0.531923085622403	0.699348707368466	0.587739448200055	0.718090828326967	0.729545575905408	0.62316507441094	0.548418537383743	0.725468937892853	0.595380687172732	0.590140887926143	0.602490608171201	0.704399859529046	0.510595321439166	0.611285624046346
TCGA-GD-A3OP-01	0.517407898593088	0.512451461868274	0.592799940396842	0.486557026337787	0.553886803987599	0.545907349325481	0.621835234793852	0.694351805567454	0.559928014913552	0.54222953127417	0.536096721766187	0.547249434656421	0.490493530086993	0.700900461203062	0.548250200886492	0.690273851831452	0.771453677705561	0.554449616997322	0.546168468368406	0.705147520896244	0.560838494626762	0.528019043530742	0.565135198145944	0.673636705698811	0.476227798866871	0.557662065658385
TCGA-GD-A3OQ-01	0.515345465075745	0.518518378598301	0.713253329161389	0.521263968114292	0.642303729880894	0.642985773382041	0.749001215230362	0.791887714389982	0.573468186131382	0.631900544941719	0.628121445533973	0.589682744983289	0.524216340614429	0.759177169722106	0.611805301951499	0.786880478500541	0.758190231806377	0.719818981118839	0.566130336374399	0.741850566941573	0.625712541759815	0.588477480605176	0.646539830699992	0.761991011971605	0.519669076185692	0.654904258295034
TCGA-GD-A3OS-01	0.588897601207602	0.579100240699772	0.632288614665637	0.654117863872474	0.610700560326433	0.658601038886077	0.649720447136818	0.644563735290378	0.563323066382646	0.530185941983493	0.514477447411543	0.594553657654458	0.593669782145675	0.608944925959413	0.68653176049457	0.622859623554732	0.570225542022224	0.620205894987668	0.6033669454218	0.606049501678515	0.614965825137954	0.612770806723151	0.561102556636044	0.621538710281611	0.590610820278248	0.576315073149337
TCGA-GD-A6C6-01	0.524930022136811	0.515896924391943	0.606856088383473	0.564627817676005	0.604099043203442	0.584842897589595	0.630815217122448	0.661756824106783	0.50796200004373	0.562808743762045	0.539024721153141	0.551912517017872	0.518452091622339	0.644858403631385	0.604098410612865	0.666455785297606	0.675091046427428	0.603228289545313	0.551296542454307	0.677356892771809	0.583773017393072	0.556379912759296	0.5754897139336	0.659743972188867	0.513756620067613	0.581660984244166
TCGA-GD-A76B-01	0.512875841459898	0.509664648718856	0.595086341432405	0.500109466942903	0.578829107331626	0.550505269516975	0.627205264443525	0.687709741833619	0.519420623197484	0.557288335294608	0.556102089412249	0.544311697253285	0.505674299406993	0.697773074509186	0.556762598848141	0.690524030721982	0.759784196479369	0.580129530343423	0.533086906658849	0.712751794763611	0.564882185665403	0.536309624193955	0.59078021899167	0.672431765084816	0.476049016019929	0.579956509801782
TCGA-GU-A42P-01	0.528859912729487	0.522379282624667	0.598937181294791	0.53267882672703	0.612523937150295	0.535247701675881	0.599851891804292	0.655625578772613	0.533369224229842	0.611372462136592	0.609318768158181	0.562686939791256	0.561966723609867	0.657745497061533	0.576983411670416	0.636786084306733	0.685497333895841	0.568253523848223	0.549962351991166	0.659594454266296	0.566410663947281	0.580651300530059	0.620973671821232	0.633435183857106	0.507692501401459	0.58135222148838
TCGA-GU-A42Q-01	0.564932433732534	0.56389244732419	0.671321906575985	0.599840848493774	0.636759104678289	0.727914013478186	0.723019956241576	0.726138715186031	0.55393742126618	0.610704822557248	0.642154783898733	0.599841899900364	0.597999878374616	0.677027852836898	0.662586761702875	0.722325446870874	0.681948659356098	0.743593720241638	0.580462348052402	0.698225616096109	0.622193606528168	0.608065693215109	0.62118702131609	0.68875398719508	0.576225302377841	0.689129435452548
TCGA-GU-A42R-01	0.509017710379223	0.508587114659029	0.656884522432072	0.547118212519929	0.61196093926103	0.614475895411483	0.705609904011133	0.738116821897433	0.562988735658462	0.587867110203425	0.575641056438665	0.579529164738383	0.529628853857803	0.711032374450914	0.618654014586757	0.743571837960857	0.74065668496615	0.653809963305348	0.539258978631749	0.722311818891453	0.594031349778281	0.566798487789511	0.594935846490447	0.705853326290135	0.523437700968131	0.630507708652724
TCGA-GU-A762-01	0.578089617587366	0.576129846442898	0.717012005353504	0.612452056294062	0.677176856303003	0.664636397897653	0.716593747013419	0.761244509420422	0.603643889343285	0.626942133220328	0.61519097412048	0.642960717683929	0.581850055742747	0.717973854495542	0.662820548725438	0.738387171335868	0.74879099692477	0.713021209653287	0.626127580520886	0.729154874000729	0.69023116571108	0.62173424098629	0.621619266351612	0.731216660458549	0.562530762033185	0.648058197241713
TCGA-GU-A763-01	0.49712527607941	0.485684053789321	0.583533302211315	0.491737173194787	0.54622965832475	0.555474934781057	0.630826059584432	0.677047322397883	0.519261014005139	0.536560055479082	0.545547161564375	0.528895419074613	0.478468068162496	0.650499998760991	0.557542399323084	0.677303460548999	0.724836204985183	0.600434424964014	0.523492889631881	0.674772869112841	0.559233372184805	0.521558795097832	0.553227473822562	0.660186406191812	0.467121451663599	0.577007111051052
TCGA-GU-A764-01	0.523117415050822	0.519100847893755	0.657000169076454	0.517838265231171	0.645606276478448	0.594533265471485	0.679190168471472	0.735692356055396	0.539147182005104	0.620843257301546	0.621690693976575	0.578401382011516	0.528900462439989	0.712836266776844	0.603401899287016	0.717103478767596	0.718712479390291	0.645638894418444	0.564901377261631	0.708720159728688	0.594091593421289	0.580070154120683	0.633786651116362	0.703190699367533	0.503926757165468	0.608263531837084
TCGA-GU-A766-01	0.544441980512559	0.541955012913877	0.691716193937341	0.581243367251037	0.661707274642562	0.645598769689355	0.743378341023161	0.749768025113764	0.556254200961487	0.61943991252138	0.65364951682873	0.605738730672534	0.559761368223208	0.719996906308198	0.636753526834866	0.728042884880874	0.716014169542389	0.720423809258299	0.579828113893666	0.713018139529821	0.640398016293143	0.594068996377425	0.627175372367294	0.714376592125087	0.530980094163213	0.652879087824421
TCGA-GU-A767-01	0.499879120314318	0.490995221119657	0.581083851525397	0.507826421111581	0.548383710813261	0.546032651852533	0.618326200662445	0.661741045186798	0.505642887772108	0.530893346140763	0.51699339994304	0.523770058108599	0.47427372245464	0.651972124757603	0.567032730449465	0.670112484485478	0.713499285471783	0.554217182634191	0.505078336613218	0.672231415702055	0.536492708878983	0.517597573887512	0.544256164191284	0.647429659713273	0.467708437870061	0.53274557746894
TCGA-GU-AATO-01	0.508182683194986	0.50229772436277	0.603006682981832	0.510739347415658	0.628283340951539	0.546466236183407	0.648329753276354	0.703035980633906	0.50936021178329	0.572008557611289	0.574478177758674	0.553720287613154	0.487827051955908	0.704791015247809	0.558043184053835	0.703966752946076	0.709993516768457	0.588654114865235	0.542101674356555	0.689386551907216	0.573170462619056	0.550062420069603	0.603195844074736	0.679335510178556	0.462176899514481	0.568236640390631
TCGA-GU-AATP-01	0.526338888056702	0.518325114539169	0.621050861447166	0.552574909457136	0.613048973162441	0.559404015462366	0.638816474482098	0.695460975333224	0.555687432470614	0.578643201539908	0.552499573070143	0.570090628113847	0.524407236778898	0.675220536041932	0.58561912624686	0.670888143663783	0.714761891392174	0.585165564577785	0.557044957591349	0.689002850360339	0.585230339978935	0.576412276874855	0.611474319169091	0.672945699693618	0.508391304448945	0.572214575655313
TCGA-GU-AATQ-01	0.550337502007821	0.546944566952696	0.674984503121894	0.594633691851042	0.652018690640279	0.698479580274731	0.735179075557197	0.754834241678666	0.55894911932332	0.599051060384699	0.61990706745505	0.600665468009827	0.576970421362018	0.719863072262453	0.661095330714715	0.736270818356868	0.704734858813622	0.717740464953677	0.569726698428919	0.720405281539855	0.630041174090984	0.608289859463061	0.63179170623148	0.720395116346617	0.544190152400276	0.702302001168678
TCGA-GV-A3JV-01	0.540859818607498	0.538366423425769	0.622761069488512	0.520664459925263	0.590552591080861	0.581999939880454	0.631532656642345	0.695502116478089	0.576524454751804	0.590633548372874	0.573843619373262	0.567481290039148	0.503212052595413	0.673180153834058	0.578303808439171	0.701834852303928	0.764077513946861	0.600420536264937	0.576476150490084	0.714967507079447	0.600860897572661	0.557123560336977	0.587883617140831	0.687851251886479	0.508512531738919	0.5735225970016
TCGA-GV-A3JW-01	0.514554560682442	0.505689221293785	0.613321772294114	0.515515226360888	0.574273593840506	0.576275807545678	0.639127068678513	0.700860297922822	0.561848655545782	0.566977211658237	0.566703965114089	0.561503319737868	0.497952382287049	0.690188218358227	0.578917283206647	0.684557886789314	0.740778358130357	0.59296688671033	0.532240255590681	0.687597411232433	0.562592093039953	0.53931675573795	0.560230452408755	0.660795270526804	0.49875584401097	0.58188286003283
