TCGA_barcode	C2BBE1	CCK81	CL11	CL14	CL34	CL40	COLO201	COLO320	COLO678	CW2	GP2D	HCC56	HCT116	HCT15	HS255T	HS675T	HS698T	HT115	HT29	HT55	KM12	LOVO	LS1034	LS123	LS180	LS411N	LS513	MDST8	NCIH508	NCIH716	NCIH747	OUMS23	RCM1	RKO	SKCO1	SNU1033	SNU1040	SNU1197	SNU175	SNU407	SNU503	SNU61	SNU81	SNUC1	SNUC2A	SNUC4	SNUC5	SW1116	SW1417	SW1463	SW403	SW48	SW480	SW620	SW837	SW948	T84
TCGA-AA-3976-01	0.578589462741475	0.642004326214696	0.597685332406105	0.675654094884262	0.697727128457314	0.699639993859898	0.604228009918839	0.441166396804946	0.53846861543907	0.673293845366529	0.60942652603166	0.733883098185159	0.495706394761739	0.550461590642961	0.4802676608917	0.491836952787755	0.458627022862469	0.689228101652544	0.614962340654778	0.719442376670838	0.558139016503305	0.620873515128284	0.688119993278897	0.553071751095718	0.661847824305021	0.65420579223436	0.663606296040978	0.432136195485993	0.693527291435083	0.481861948869089	0.564814760631059	0.485297714283496	0.630114359888694	0.442983412565331	0.640929923701492	0.673060679652693	0.645212345266688	0.583972005585232	0.54189271747744	0.609693715598677	0.4831264006737	0.696707954100353	0.632133332768301	0.664426616402498	0.510222386352538	0.655051366002362	0.54216100799087	0.655109721265649	0.619304774933874	0.686909790038807	0.710930461443418	0.515323348440724	0.549746145666714	0.549152429858097	0.586829384859522	0.704893115755119	0.675251676095562
TCGA-AA-3977-01	0.615347355209051	0.672721915873584	0.627944243472182	0.68721949420319	0.709442982973796	0.719883768934947	0.614439287986652	0.495164751707338	0.56703475754296	0.717885086490205	0.651392123078672	0.735527994317339	0.561897739543222	0.605659998772114	0.50470627074711	0.511778443896011	0.499299132681533	0.717781674751645	0.631063653417802	0.707467150501374	0.58629952215705	0.669554185889934	0.675170225415733	0.600723253348048	0.693704263920834	0.675489984300143	0.678500483235901	0.49900649908252	0.697625519642808	0.518631897850424	0.607694334041126	0.522291215660035	0.65280473524902	0.473032432017834	0.662064981907808	0.686448548137283	0.686912049420081	0.627995787615712	0.600153507770512	0.652228816667942	0.549736219003011	0.724123459280899	0.657223005773781	0.69095197225512	0.579588476858152	0.709257753197637	0.583207659775394	0.662194447165087	0.639470440812752	0.681746793137975	0.69237934978385	0.554192550057158	0.590141436621978	0.561903871992487	0.627267600139948	0.708594418767541	0.704763391461948
TCGA-AA-3979-01	0.629616053995998	0.692846338221588	0.63721190791866	0.705449989607206	0.735179042382728	0.728560826317932	0.637801015186314	0.479859994165186	0.577998050463809	0.719314491855808	0.665437163801606	0.727496558214924	0.55633251103476	0.609952859453804	0.515845813998648	0.531342373472566	0.509051087070555	0.73988406979238	0.654236149709327	0.732808098142495	0.603406212339305	0.680036010404879	0.703541387194381	0.603794007472188	0.695757494099959	0.688438446755377	0.689887016354676	0.47440266405488	0.723701323909465	0.511872786950185	0.617545234510581	0.526073768575368	0.686012446961253	0.496619950943869	0.668784912634674	0.683245169974416	0.677030944359319	0.643374026303556	0.597261930155434	0.637662759043372	0.520853306140149	0.74901921229667	0.6673173357585	0.708370268273101	0.56548273463941	0.705723174753803	0.593886354607227	0.685673532950437	0.640862447772802	0.702748835982409	0.716404027953857	0.568838838395468	0.579232791388315	0.574666200444107	0.643025304802367	0.727837229121465	0.727882104837051
TCGA-AA-3982-01	0.610583565541566	0.692175864318027	0.607692463831352	0.685132147163376	0.721493905289701	0.686015747983882	0.610250617549163	0.488682240594974	0.565765460795612	0.693293061226316	0.6602376221357	0.751520632544731	0.526087349018517	0.581742116265877	0.510376720391769	0.513439609763469	0.48937657382743	0.707983862631906	0.643390987708501	0.721517525398585	0.591319058694917	0.652301137466725	0.691902256566219	0.561787804429847	0.691637332222121	0.672901465754155	0.680173182631346	0.44939099221543	0.723856334104826	0.516547541061278	0.585907575830714	0.517579576642051	0.649204940161137	0.493311122100232	0.651312410233086	0.669328281239007	0.649248998297266	0.591948660897875	0.601385026978494	0.631043426899292	0.502493596572342	0.721950391430796	0.646075714240965	0.691517198915311	0.539923100877222	0.699667815389382	0.568295696437756	0.671048394965627	0.611980710995909	0.695415885931541	0.719971800091573	0.539638067394069	0.545233408983714	0.56001732786928	0.611464464610699	0.732087751854543	0.69680894473792
TCGA-AA-3984-01	0.622970778988896	0.69863556700875	0.628005318208461	0.709750520282691	0.720208162116794	0.708629668398302	0.631542620979866	0.494419845051492	0.581298851287507	0.7021822489611	0.670028072086314	0.742996870705501	0.558847801187234	0.601210600605764	0.54030175240934	0.545118398980848	0.527496934559175	0.733602586134635	0.642417750446154	0.735038170000852	0.60666456685756	0.662039972886956	0.696391367719973	0.613913106045911	0.692779070676414	0.680196406475417	0.674221631901857	0.500623658416785	0.734842998817811	0.527853940529856	0.614965102433504	0.546015333509511	0.677403770226211	0.513998157696554	0.66458979073701	0.679673389219662	0.664104497008478	0.634304903949213	0.603024762458022	0.634275669218904	0.534296842993176	0.729944605942419	0.672593719205592	0.702768511137121	0.568688115875863	0.700523141275832	0.595675881650139	0.673771548745427	0.649137104427802	0.681015386026769	0.701511195352794	0.560541496421391	0.583961157294855	0.579944098923235	0.637808569702242	0.721111464094012	0.735442254306456
TCGA-AA-3986-01	0.613735985997047	0.660403936448229	0.607532351406584	0.709425252459643	0.710458811955857	0.705542486771352	0.617456547743932	0.461686651681029	0.572565418900067	0.694990862352231	0.625843992241219	0.736774176932086	0.50998577938008	0.567383348109187	0.494326600910214	0.502334336532179	0.474621938588709	0.684638761600097	0.641429337123217	0.726987028317629	0.567383462469516	0.625813222116662	0.694538172693518	0.569847032281386	0.673520949371504	0.662049212475019	0.687671539233232	0.430413298723227	0.7121034808991	0.50663382674493	0.582060501437495	0.523937532680486	0.638914526330395	0.457871814696101	0.649679865900023	0.675314974909941	0.651329652720138	0.597484420145969	0.564824977856594	0.646305136946634	0.50267845157524	0.720812801982901	0.638842356224872	0.671575519260137	0.526212468073038	0.67628123923909	0.562367083239191	0.659444413689172	0.62111252206022	0.695545217350865	0.721407133611374	0.532682072039398	0.550638566446554	0.562118571800728	0.605360939722989	0.723448505028042	0.679024247585289
TCGA-AA-3989-01	0.58725436732305	0.669109170451668	0.603810023710039	0.697265703818704	0.711650424466768	0.699857917176117	0.625729032405471	0.461539338564601	0.557473417400564	0.692509135789213	0.642296059899579	0.756514948586139	0.516589116013119	0.571699872964104	0.505444741726167	0.50678912153534	0.475086254984499	0.697458838532946	0.629355763184217	0.724423403283498	0.571084679876038	0.629166698417547	0.712215050085717	0.561173589034966	0.675826766014007	0.665878500226665	0.6836425013526	0.443674385538076	0.72403895555472	0.499199469136282	0.571072402842289	0.503712233834436	0.643143136191401	0.472556119482723	0.6397131515156	0.664013920592744	0.647522728443715	0.595425891425135	0.565374139682502	0.616657613283885	0.494364548273046	0.695854773191704	0.646517861095547	0.671728709226242	0.523288557159147	0.682318397134672	0.556993477831622	0.658573939977758	0.623526720196877	0.690311416989389	0.713268186301136	0.530728099494972	0.560256713841262	0.56900060185441	0.60469442016495	0.731080429372527	0.690838659113656
TCGA-AA-3994-01	0.598332912071406	0.646136584890135	0.666840645762329	0.696895367675709	0.749325508349692	0.747295650339269	0.659167398553992	0.467466612884532	0.607390167928926	0.71957099666745	0.634571516352051	0.734586482478209	0.558844727606761	0.607572040995854	0.519006321840001	0.528273652745871	0.507920320911906	0.729220060750319	0.670164996655707	0.723967688949482	0.619462335911603	0.673824479625923	0.695418966077819	0.617876684631596	0.708063421032395	0.705758932453507	0.728691969015705	0.496758344571505	0.713815969150573	0.520353156484236	0.623631250544227	0.525655258689812	0.685114693443198	0.486714709279811	0.702140336003298	0.694766627555975	0.675356872939578	0.654090472338561	0.604047102204142	0.669580981571763	0.5418423516851	0.741929308603627	0.683651707925751	0.691353697133744	0.578225049708018	0.690838094587848	0.61403139127549	0.681114012323654	0.660919735791173	0.696792461685453	0.708996822954835	0.585235374128975	0.594293009184462	0.574026040661525	0.638000434509897	0.72992333407565	0.701885830096465
TCGA-AA-A004-01	0.584208764815294	0.644722856758243	0.608337565967405	0.661588300615889	0.695412613821869	0.647429022824299	0.605525250226764	0.420483599754849	0.549035693184308	0.672101700798165	0.611837705073689	0.703986663268994	0.506352674617392	0.553818037167124	0.45152080922774	0.468024944158061	0.436108807134279	0.681079823872028	0.610969725335671	0.681635085195184	0.561843101697304	0.615218584594985	0.66456061684066	0.545551343906876	0.641358206000712	0.656791574165685	0.648598257299215	0.418153220818205	0.67042225874563	0.45689973824536	0.550597157270301	0.490133013834345	0.63917193160253	0.459481054191574	0.617430556810829	0.631412232531279	0.626399047725593	0.568207485532293	0.542413244816239	0.586744028752359	0.468339312344434	0.684956533237954	0.625892148930493	0.646618855741469	0.525218436213439	0.640396703733207	0.547621758450684	0.632118687813156	0.606152832949608	0.651656610082293	0.674903242343981	0.53341330012783	0.546098335948817	0.553062367959249	0.59023427777412	0.679472771702027	0.660185619074094
TCGA-AA-A00A-01	0.597944802077731	0.686502703988205	0.620860741686959	0.66381042808357	0.735916716907651	0.698982039936955	0.633746216412987	0.477361143110843	0.5759368520893	0.712326227005962	0.655577979082585	0.720406669820505	0.562027598870891	0.619706044006469	0.553703327889358	0.558943038603246	0.540553428796391	0.733081643505683	0.646728441017898	0.695832752289744	0.620871928800583	0.674403507756264	0.684631933542172	0.587958946876001	0.701385186509725	0.69836193448762	0.691730844153937	0.50180135956841	0.718631527888577	0.512934211898605	0.604562258528934	0.511628628072457	0.660829501471871	0.528342266436908	0.656965063090319	0.649215809161993	0.651592005627479	0.619077187317454	0.601149648207827	0.635891575548816	0.504471553914348	0.729267536441359	0.674075624974193	0.669802946848151	0.560745688549417	0.710709843822165	0.608715415222676	0.666026522174781	0.62956966514184	0.680948301342443	0.690489730984911	0.57326499237153	0.566160752191626	0.568987026371494	0.615829523388139	0.714125976512016	0.720877418601751
TCGA-AA-A00D-01	0.617148773579156	0.689374796295533	0.677178386848469	0.69766376180828	0.733576858243778	0.712862106318771	0.682172287236951	0.497060867261198	0.619793326064237	0.695662515709859	0.665648804121999	0.743176603544975	0.573945986028817	0.627042859413977	0.519379228537076	0.530891175682828	0.504759400013139	0.742777805725457	0.662525059625784	0.741684409307054	0.624783738628923	0.66964261831192	0.715704495399478	0.618013707987483	0.689488304955324	0.712204291738397	0.711897624823465	0.469058409809923	0.715423919057761	0.514986858263516	0.634780265217561	0.546183036473569	0.707858384595723	0.525419661292235	0.679989997126941	0.701557534327097	0.661333768532281	0.645595622957589	0.598903518686487	0.672939072865898	0.527515248266355	0.730802603619133	0.691016492357948	0.695164844794885	0.562600145312187	0.690643860335659	0.612185182589326	0.706972214226955	0.673028190751191	0.699989859377216	0.728475618772257	0.588954866214988	0.606901548800152	0.614543035732413	0.663366764356035	0.749763305263691	0.704584615097736
TCGA-AA-A00E-01	0.616672425580981	0.68690883500104	0.634744526067529	0.66748569042254	0.763794764445807	0.699547541670613	0.645223207117454	0.480333220093526	0.582407863169066	0.717607446579431	0.656910131186528	0.719816337327956	0.560632254034925	0.631803500770623	0.498033091577982	0.524873958397803	0.494694834049717	0.732729939845467	0.671508761874157	0.688772059505618	0.653508098250802	0.68341106010108	0.680924817187237	0.589980789506265	0.703079961451964	0.728095765732027	0.704531166467517	0.463689924167443	0.724774253820782	0.52363068323246	0.601120756243632	0.51443573400678	0.663989891655239	0.547858693153054	0.670634437958199	0.653449119210485	0.66167393413794	0.60799581398688	0.623820393837521	0.649525284833027	0.496636332462937	0.740646838847825	0.683273891000337	0.682566231493037	0.574175106090708	0.710532275458235	0.618186124169249	0.67442600898265	0.625640994271703	0.685335920981074	0.70479815167904	0.582073019695405	0.561521200804881	0.57762568516709	0.624069906997997	0.735350228879492	0.717050958629796
TCGA-AA-A00F-01	0.630685871090247	0.692193678345181	0.644216237264362	0.724650559339067	0.742282335148942	0.731339716569766	0.652077624712697	0.479516875346191	0.586652297703869	0.717206981832099	0.654159023864442	0.774102783582188	0.548045767686763	0.607362841186552	0.535019045363317	0.543038186050657	0.518227439347676	0.736589465546809	0.677403273522146	0.755234161730038	0.611954706699606	0.675775489341763	0.72948118992696	0.609403169686982	0.714436408535423	0.698679002295623	0.710569599001354	0.49348572172755	0.747120133765027	0.535379057541281	0.619380846852727	0.532331290221778	0.693523823205566	0.497940181834325	0.691762657155045	0.706899063330879	0.673604254886236	0.644423497392864	0.60463250277945	0.652109939197157	0.52803981165478	0.758624661946425	0.682109220033613	0.71922232540602	0.573485401222089	0.704441102491222	0.601954856886454	0.711797025920133	0.663354239469757	0.72170977008689	0.753191122488697	0.573060610932977	0.580682844056664	0.58636545097203	0.646180089761151	0.74414837618556	0.734378556997874
TCGA-AA-A00J-01	0.628210395068476	0.682074221104947	0.650123602319114	0.674104844351771	0.784043822302163	0.717633613927151	0.688310953451218	0.509006378296041	0.614727519180507	0.729187061132091	0.662108312131287	0.737327500245174	0.601663618646579	0.647622158823522	0.542628942785816	0.555155889336806	0.546386696871106	0.733538092082044	0.692230305692256	0.70666270065397	0.686317064950227	0.694831317995627	0.698021501936378	0.616760889445304	0.720539996858658	0.764350579593129	0.731155543358246	0.516674404468763	0.729592580350144	0.566240344162931	0.632277605899556	0.528890329184767	0.684591740463302	0.5707138771157	0.694698738862778	0.675492073041452	0.668154313190428	0.639216095478868	0.645593742771273	0.676585105554287	0.543586778991686	0.742436048336293	0.702980127969276	0.676791653279775	0.607718368797234	0.718572285610257	0.664231410694581	0.684812747870068	0.661371913424831	0.711675690840897	0.718816331603837	0.624903271722015	0.584273478291541	0.606612489073215	0.634929026598469	0.749413220807832	0.719565576468977
TCGA-AA-A00K-01	0.624617596026665	0.713939252133531	0.636673360246466	0.708215367207362	0.738740214863213	0.729782612209881	0.630946944036326	0.483225234007601	0.574039313556066	0.718944889467184	0.672394903080783	0.757883876190405	0.547200388158062	0.594518551604499	0.516450200981709	0.52101719452396	0.502512883035961	0.719776568203195	0.655088592521621	0.741920738776114	0.592118258239648	0.662073355264827	0.722487654089136	0.592605074902037	0.710090945743594	0.688142399717655	0.704266208634576	0.469218920169087	0.72777446703897	0.513380241280137	0.594711339561981	0.535600199244047	0.674738261042247	0.498119053267034	0.661760783056928	0.68687446305505	0.668078188293554	0.610006062271955	0.583894111159718	0.634851142851057	0.516401799641363	0.739046247978586	0.661909816576484	0.712381003519351	0.552403103182381	0.709162406794512	0.581739818590071	0.673794909664187	0.634443035646312	0.706304116950606	0.722706857561111	0.554786598429934	0.569983380617683	0.578001798806982	0.62556239928076	0.73496055718097	0.720092198869604
TCGA-AA-A00L-01	0.628266588380265	0.696230601975609	0.617811745523981	0.731395084909712	0.725044214370066	0.679778839242319	0.632349050214535	0.485764356696599	0.580556003925497	0.687722709662195	0.663280435194623	0.754937408807172	0.54871922024352	0.597768944623841	0.542100173444725	0.546659124129892	0.5207040582471	0.718449179730743	0.637883887733371	0.745602905494742	0.602513660478257	0.646221674303515	0.718563427636147	0.585159904069629	0.684954804877322	0.675990574551885	0.679269120248249	0.468488300917876	0.741879568158184	0.500583046370311	0.609157659970696	0.534403766443246	0.675003156919228	0.513404570114532	0.652616054995294	0.674803198044528	0.651468435396906	0.624121259121662	0.600236523277587	0.629141193808562	0.503429574946545	0.717302704929353	0.6616384002449	0.692329539156301	0.554562279487027	0.684547162712981	0.590859276802395	0.674134150479063	0.632843672368032	0.681647161745108	0.715851754207918	0.559883573367486	0.560344468658551	0.587855802063329	0.623615240145368	0.729328938568727	0.716889389465368
TCGA-AA-A00N-01	0.621275870513742	0.675110901634893	0.631955942193747	0.699830118266393	0.738509409095258	0.726396307295993	0.636071266155154	0.482023236800989	0.586572160315134	0.729370173509695	0.664058765481092	0.756684394023447	0.552321009174541	0.60301518863734	0.527685719356371	0.526376511919858	0.516304943009425	0.739029422065684	0.649166390194712	0.717927586040611	0.610041181762483	0.676926883149852	0.690941218115379	0.603382263947429	0.701478475899231	0.698080310584975	0.694200617056509	0.488359828729643	0.727052833590133	0.529844078534315	0.615500197818834	0.532156518382153	0.665872535652809	0.483933773407529	0.679123830542439	0.688359461904536	0.688116155293305	0.637261075333163	0.626582747139854	0.666465396782026	0.550246879162908	0.745312095877269	0.688234741593744	0.693302246185118	0.583404914812577	0.713820567922407	0.594784903526409	0.678349609649636	0.645266751747666	0.694112447441026	0.719775833113777	0.565039682640176	0.583739665194855	0.568667163755952	0.632961834347315	0.741550135585088	0.717661545880372
TCGA-AA-A00O-01	0.602406247121032	0.656467501103295	0.615180303514799	0.704808234326944	0.67893523008642	0.650426106213018	0.638049423160406	0.509909902957272	0.594474220138041	0.665929901538516	0.634933778982332	0.742127447317023	0.55570522893938	0.59139422410029	0.575636090057543	0.562325815526282	0.542744103361234	0.670054086242465	0.610873415933146	0.73455736251922	0.574612095796155	0.626736570947119	0.680981018521464	0.589723858708537	0.656306491934151	0.657839870109266	0.639029224677113	0.477603589208551	0.676520978994795	0.501026174914468	0.595734136331235	0.546652485516561	0.666190635842937	0.510539955904962	0.622851708190448	0.691668892487916	0.661198763192411	0.617026001269429	0.569430562928471	0.626223297945194	0.533153213904632	0.667763217454732	0.646030196480329	0.650653586965553	0.571116055942106	0.648460690135626	0.581926624358954	0.65281983299079	0.657376979296316	0.653165650210542	0.693267215360237	0.565055152607531	0.608638932597787	0.624989988733556	0.635955083850261	0.698888022367628	0.656636206658976
