TCGA_barcode	22RV1	DU145	LNCAPCLONEFGC	MDAPCA2B	NCIH660	PC3	VCAP
TCGA-G9-6351-01	0.61571389349236	0.617697600729136	0.656859027563184	0.670901953411709	0.579592729272548	0.594867732039977	0.715020255916225
TCGA-G9-6353-01	0.566530385029577	0.606306442504423	0.596216446178805	0.602758050758738	0.544225118081101	0.567386693660654	0.640882220231573
TCGA-G9-6354-01	0.579205711088109	0.595048828685836	0.630680545783197	0.646206816639104	0.557044041845051	0.565654771417574	0.680105714332665
TCGA-G9-6356-01	0.624882087162296	0.641745658263304	0.661283265330674	0.675307514428894	0.601208658108	0.608865008958028	0.727805430375528
TCGA-G9-6361-01	0.582090704669551	0.614634616468715	0.627251847944317	0.627560686602924	0.568297461428315	0.587462721267451	0.671487752380037
TCGA-G9-6362-01	0.563835493039184	0.590318295484894	0.606208681277373	0.617441064148382	0.55224165079443	0.561174089108072	0.662466820503667
TCGA-G9-6363-01	0.575305413009013	0.613370070126954	0.617302744894777	0.627745502904127	0.551948412961181	0.584171074014884	0.680712998285431
TCGA-G9-6364-01	0.599706095295412	0.613640998191595	0.620086728997153	0.637383078850468	0.573202374286854	0.572328629063736	0.693068398778617
TCGA-G9-6365-01	0.588884658550387	0.637148945222807	0.629046232734728	0.635056333080085	0.576680129704823	0.606255232844697	0.681336972917864
TCGA-G9-6366-01	0.572510543620435	0.593601352855134	0.624403932953859	0.627069687887752	0.545287094445939	0.564885701899499	0.650464707720505
TCGA-G9-6367-01	0.595336347609036	0.614388388593299	0.637924654697134	0.642989213780719	0.563727595133842	0.585112984169336	0.676244971356528
TCGA-G9-6369-01	0.597449899284366	0.596974260919647	0.641936494760898	0.629745589141355	0.534276758059823	0.57859523705084	0.652779251229906
TCGA-G9-6370-01	0.589106355357787	0.63015371097226	0.619549011678232	0.641713283042124	0.571368195915145	0.60593067312484	0.672775877856762
TCGA-G9-6371-01	0.611822979921679	0.601858542857553	0.659677789073575	0.680853136453313	0.558695862681039	0.590478824744159	0.7044308241751
TCGA-G9-6373-01	0.571540218554629	0.615865659935432	0.618226796423154	0.614553273653873	0.556244902465599	0.584309135046649	0.659192884365625
TCGA-G9-6377-01	0.580260065653415	0.623579074254525	0.620334999863253	0.648335159640903	0.559622764470481	0.598291140665565	0.675917801796197
TCGA-G9-6378-01	0.588402241918304	0.599799105184101	0.634942098946748	0.636072160678857	0.563091903756396	0.580863723576235	0.664245782983445
TCGA-G9-6379-01	0.576234922237819	0.596128163362632	0.634543177935614	0.642915722373612	0.536774682640821	0.58093768318117	0.657734925712861
TCGA-G9-6384-01	0.609014151485233	0.633451876485341	0.651478598618056	0.665835760105769	0.580948317782262	0.602344930448918	0.705782536226269
TCGA-G9-6385-01	0.618379357851456	0.633741216549898	0.666395172010968	0.674280910387666	0.590772791269661	0.613038284399301	0.71106885454654
TCGA-G9-6494-01	0.59496069936328	0.599652404271531	0.636587983364791	0.653276509452919	0.563618022885663	0.574211508403887	0.68578063293287
TCGA-G9-6496-01	0.583294821229167	0.603065208930655	0.63855507452175	0.65536519343173	0.550758555259678	0.596076689626921	0.648705987432352
TCGA-G9-6498-01	0.560813041393823	0.593988751309217	0.598441904029926	0.606153661006219	0.512902577906662	0.580854656693559	0.606551098530754
TCGA-G9-6499-01	0.612734170188388	0.608589581575763	0.657623066467404	0.667863165176137	0.55616106521056	0.598290649053668	0.688053961833079
TCGA-G9-7509-01	0.613821920477255	0.610223891370689	0.655559162772784	0.666163853431274	0.57065364736126	0.58135333913897	0.703106785444019
TCGA-G9-7510-01	0.619349562127511	0.629806292180589	0.669257655066044	0.674821358345338	0.576764907614158	0.608772791950839	0.700651700026497
TCGA-G9-7519-01	0.580012595176755	0.578713182452306	0.629125894241112	0.643778937715722	0.53193431757226	0.562741657336595	0.648174607687532
TCGA-G9-7521-01	0.590692040398454	0.600460476111306	0.629847219150379	0.640599129425248	0.558295779891869	0.591361739834688	0.658367053630372
TCGA-G9-7522-01	0.5971858430392	0.614242369587056	0.646179316093159	0.661124576810714	0.568554766113774	0.58927880356903	0.703324485763849
TCGA-G9-7523-01	0.560174858402122	0.574919205431978	0.597584290656685	0.592713602961461	0.527443678971342	0.559788206054309	0.617093584664292
TCGA-G9-7525-01	0.579203269972406	0.61660095490522	0.624672047450152	0.627734088680084	0.56244943029222	0.581360253468996	0.687176688618353
TCGA-G9-A9S0-01	0.616904042163489	0.62596855093457	0.675282226612176	0.671787450745285	0.569644896592135	0.616774070346871	0.688933591963344
TCGA-G9-A9S7-01	0.633202734992796	0.642800848780863	0.680441298520342	0.686280830297208	0.616380213213333	0.608676028676608	0.739273481323719
TCGA-H9-7775-01	0.593520430240183	0.615581732745846	0.627977457595435	0.648894599675535	0.565337024757669	0.589274542210693	0.684288508130821
