TCGA_barcode	HEP3B217	HEPG2	HLF	HUH1	HUH6	HUH7	JHH1	JHH2	JHH4	JHH5	JHH6	JHH7	LI7	NCIH684	PLCPRF5	SKHEP1	SNU182	SNU387	SNU398	SNU423	SNU449	SNU475	SNU761	SNU878	SNU886
TCGA-2Y-A9H7-01	0.640743313860782	0.625268674302976	0.418321621982335	0.596431244524638	0.511094876168489	0.646774450156366	0.454059801992971	0.464174496171091	0.470976423103119	0.633664557176806	0.471796098663183	0.611531449478502	0.547456973109476	0.484529958937782	0.538642004886859	0.452762808139642	0.415792401725452	0.473680981011048	0.422963461515601	0.441583376361432	0.496276876920118	0.476094948330528	0.580806406061293	0.549045139788035	0.526509294974243
TCGA-2Y-A9H8-01	0.617106220465049	0.63909558687801	0.361627613060897	0.559847458168441	0.539518020584017	0.612649461322835	0.461470036332712	0.43992888408497	0.404214184459392	0.619642602258677	0.4557247965959	0.601710952264013	0.526732808917515	0.529593994426595	0.505529704602399	0.432879955358948	0.401582407423122	0.445179655053883	0.399955141243109	0.410265014571237	0.472877133815002	0.430088192684557	0.565909306549	0.513393858518088	0.491955622623482
TCGA-2Y-A9H9-01	0.553193199515795	0.567125542683856	0.412165443686296	0.578631035316548	0.46533104354597	0.563684213273078	0.404553994798323	0.469139704395546	0.456837785716475	0.563419643923906	0.457920548576008	0.543406473905814	0.490822317980299	0.45464216017245	0.491146578897269	0.417299649267447	0.370026639185092	0.464484595656587	0.368395826694416	0.422053287321509	0.450658221944074	0.449485235921705	0.542605012766166	0.536992682975492	0.504271916107529
TCGA-2Y-A9HA-01	0.531640209073692	0.587941137648244	0.395101908789214	0.595653560156394	0.507456090941396	0.564771109015178	0.394908136130723	0.463455979028149	0.439581860251057	0.556025815200634	0.432180717591064	0.543951912522703	0.483614167215686	0.465256679243887	0.490713887511884	0.375341354167457	0.353841205210831	0.428545244739461	0.342510117676483	0.402849478192283	0.418925506388335	0.45427616659127	0.511774386047745	0.526440533882125	0.472294314639408
TCGA-2Y-A9HB-01	0.550769136121868	0.580664745143284	0.369907561803122	0.561694525103019	0.468986385315676	0.560529965342294	0.393643999041525	0.429099826749472	0.420141199054394	0.568738543810404	0.44174532474113	0.54969771177601	0.479586870324497	0.475433186561798	0.459305459330702	0.384847578880383	0.352591544552935	0.44911538894109	0.336938053432706	0.405338071080997	0.436236857501552	0.425144152717617	0.539951489320479	0.517602949247482	0.488566199024643
TCGA-3K-AAZ8-01	0.539799441113168	0.576415275198523	0.363573123522129	0.54348141478652	0.450317977304638	0.541630197594632	0.398996623358949	0.433719800605318	0.411467670561823	0.547882103174939	0.441094836759458	0.535052792068024	0.474096979118887	0.460578136502934	0.463141486078045	0.389260956987019	0.36362840137421	0.441572421517018	0.349899961532791	0.392625524408942	0.445987143131945	0.41102271352185	0.539418044765685	0.504437249747344	0.482487093536925
TCGA-4R-AA8I-01	0.530308602376917	0.559806836467138	0.390013601528279	0.588192982789305	0.485430259349421	0.570199452016129	0.38491388250284	0.457550848513243	0.436760161568595	0.563538742554623	0.44091716490588	0.539548439905431	0.490381495400363	0.466097065421074	0.48019355205636	0.38209980247067	0.345255098127199	0.445219464566983	0.329358606660243	0.405393334060125	0.420495999125559	0.440140157266633	0.524891889232672	0.541078085270397	0.488866944619628
TCGA-5C-A9VG-01	0.64829613202106	0.676461339475329	0.422951386522428	0.597556084712714	0.573463693347949	0.64987634014753	0.49075042768707	0.475507626421986	0.45773468203245	0.630070260091451	0.489394111323361	0.638124433964443	0.561185630442727	0.515648071523095	0.555350890976755	0.481795270932652	0.470890236230631	0.490892833061658	0.470942192043827	0.473744739959049	0.523937323711392	0.508674468748873	0.574794511012673	0.56110847951293	0.546996695598686
TCGA-5C-A9VH-01	0.631702944468268	0.652760189746887	0.382720591434984	0.598949688576408	0.558135504156273	0.619765501628052	0.476578499719485	0.462536090661157	0.438355393474122	0.633615705882967	0.468446489574119	0.600374117360927	0.547554215551265	0.56393455120602	0.517061184656164	0.441739114261666	0.420328214274761	0.476229069287845	0.394135845419563	0.442735804691206	0.49418425352686	0.457500554044061	0.596712442040042	0.565474962821084	0.525493390984917
TCGA-5C-AAPD-01	0.566284901504643	0.591102645503362	0.388225803526063	0.594246417088968	0.528077024534393	0.574419670987942	0.438786627551545	0.476971171002961	0.435998872028177	0.587404536987033	0.444547151241847	0.565003085257648	0.507441593062528	0.531213926303069	0.518949835879648	0.398732881708486	0.362257573467065	0.45062703004045	0.347486205376663	0.396910870947007	0.435979312464326	0.441142940666235	0.551462844740854	0.528268393744175	0.48300100800919
TCGA-5R-AA1C-01	0.510052709247211	0.549724240039524	0.392677507224624	0.558292775798164	0.468325974307262	0.540205117848585	0.38108729311088	0.429416334777107	0.426385908576707	0.536213405775091	0.438888418548589	0.508393804594364	0.466428433474027	0.417517968252394	0.440436385745589	0.387463277688515	0.345459195703743	0.448999555063532	0.336225976422916	0.418874773993478	0.446902971018129	0.438326238186605	0.507395849349762	0.525967021909925	0.486758660927417
TCGA-5R-AA1D-01	0.562322876108751	0.58804528360841	0.396311682727314	0.560776473586733	0.494859884345217	0.591479237287035	0.438637413557548	0.45006334554223	0.441566643846934	0.563714770830457	0.464732420742376	0.543376761583349	0.509585990427469	0.466911196154484	0.487397875286526	0.430575049428166	0.406346336840603	0.481317691050418	0.38787467480421	0.441277194355526	0.474101928741359	0.460979234888244	0.553948692768031	0.55115291533698	0.520162758047538
TCGA-5R-AAAM-01	0.543388031561843	0.567494220037634	0.370992597953521	0.554762243401592	0.463752809607472	0.564113265091651	0.386925167152158	0.428912726855142	0.423097391135382	0.543763636105513	0.431612797496365	0.521812868103256	0.469730676290719	0.437617438093587	0.451763416693183	0.384625566161433	0.356462834666297	0.444826606393421	0.335306817788204	0.400916665136939	0.429926923147282	0.424162504299591	0.52664388438081	0.529094686257643	0.479418698591335
TCGA-BC-4073-01	0.613538103908249	0.602993851218098	0.487368124842794	0.681112668885772	0.524368337815521	0.630987086362631	0.45689530986	0.548142952471325	0.5208849980091	0.647905755575416	0.508680940460425	0.615933090125466	0.573283842944499	0.544338014825212	0.582905718302833	0.444975938919144	0.414166900687326	0.516243182655425	0.406287171022621	0.47503509070406	0.477854194075649	0.511705487695265	0.596934495082109	0.605113015654146	0.552796872854724
TCGA-BC-A10Q-01	0.678837041216065	0.626140727186885	0.524890931261808	0.636075207963402	0.58893629449875	0.626968521690814	0.623205679122996	0.598657812443512	0.587705496544625	0.652240341320967	0.598071414863481	0.615834586856902	0.660658729564134	0.633115686875299	0.649884493138824	0.598464455663017	0.567143387758289	0.59310966592079	0.531998336292169	0.571280383971659	0.635718850931217	0.57592695820489	0.703131557519202	0.659274490399712	0.643456766142557
TCGA-BC-A10R-01	0.589875667570004	0.594069040682238	0.399684389789895	0.601545812382358	0.522115780767439	0.590563829290461	0.467711581893146	0.503040374899795	0.437964844069172	0.587681271708988	0.479086886742279	0.580992820090434	0.550251673154596	0.5079447457905	0.527634613083886	0.440248518001465	0.425966473534341	0.476120008437396	0.392621434468619	0.441589970632793	0.473709878985968	0.484938995187597	0.577801511746066	0.571750952356955	0.512533152081268
TCGA-BC-A10S-01	0.547823340162799	0.582837250572729	0.349786468103993	0.54461329624208	0.474389414755509	0.55124883571042	0.400294079786796	0.425171278187387	0.401462924581477	0.552825690839247	0.421738167530394	0.529686984890676	0.4694011267006	0.463148591515524	0.452169684829992	0.379732310541083	0.348708175510665	0.428592019679092	0.33203504766957	0.385085323115101	0.432720404429917	0.396893132061082	0.524505282732432	0.499127740761376	0.473433058184638
