TCGA_barcode	AN3CA	COLO684	EFE184	EN	ESS1	HEC108	HEC151	HEC1A	HEC1B	HEC251	HEC265	HEC50B	HEC59	HEC6	JHUEM1	JHUEM2	JHUEM3	JHUEM7	KLE	MFE280	MFE296	MFE319	RL952	SNGM	SNU1077	SNU685	TEN
TCGA-A5-A0GQ-01	0.452442777661762	0.388138880155925	0.538535459460594	0.4568834839524	0.514638438278539	0.448888010759607	0.489923809464995	0.522871747535766	0.526781609141005	0.587744414674495	0.479868140616831	0.465658621553087	0.550232960846799	0.437182134952819	0.600390497060823	0.473917817487323	0.568150555114214	0.568051340106769	0.498555536039428	0.525466110665796	0.494641652723295	0.530274941865226	0.519330133060893	0.513430975621054	0.526710076249717	0.466489146115975	0.537774999730649
TCGA-A5-A0GR-01	0.503300372790045	0.459316471895564	0.594546829740809	0.541563542087195	0.556357619185382	0.471391460292532	0.531769811297772	0.557430962441292	0.567243849868824	0.602450202817225	0.482920861264819	0.516861518990381	0.5990921784936	0.475246174486815	0.601477735450525	0.514612757643107	0.620858284790613	0.584474604941075	0.552750992209466	0.58600362854053	0.548894804590536	0.56331897512701	0.548176961372706	0.536390524650475	0.599752054238425	0.514904924503786	0.58770380934479
TCGA-A5-A0GU-01	0.461777696207555	0.428434349368536	0.556696709995626	0.486259829781452	0.54962915798111	0.439299196503424	0.494268810657645	0.524838440756522	0.53432975969189	0.586025453472681	0.48312405246611	0.495815796404902	0.549142425491382	0.445013733751174	0.579360305849163	0.51464620872651	0.617083071977868	0.571343135741973	0.533883870204429	0.566581802810127	0.52357386901931	0.544735735474247	0.505702916120348	0.510892195451279	0.558600955245566	0.52126931610191	0.53196270137838
TCGA-A5-A0GV-01	0.471928373326963	0.416242969855954	0.553085026815464	0.470810086387296	0.551402156196652	0.456729512580656	0.507941892505155	0.534905958363902	0.534102887509378	0.581830857450416	0.502896311999317	0.495631649064024	0.540160906052635	0.462814054415141	0.591515669468109	0.500636632941053	0.59099317533367	0.577386890031327	0.514420223017109	0.555042287143598	0.510277730038519	0.539306577057599	0.539830126343857	0.529942513050683	0.541148470011525	0.507540335163434	0.539169508765807
TCGA-A5-A0GW-01	0.470556666885387	0.451909240548392	0.554074054161447	0.510276092273593	0.578713063801656	0.401277370302616	0.47410619147208	0.49254086452856	0.488186883153612	0.555107509519195	0.490959561440447	0.496421454256481	0.527993745083739	0.455596143039153	0.578795947142106	0.525268696285014	0.606507856615511	0.560423114422924	0.572964684170762	0.577948897628237	0.548019565195509	0.57764073112156	0.550050813787355	0.488156345641302	0.555437772053389	0.565516810264327	0.477439083881188
TCGA-A5-A0GX-01	0.466453719055602	0.469048619414228	0.498588599481595	0.51661372815064	0.514719379032661	0.419783869902847	0.462441026585166	0.463848742706113	0.495574101885707	0.535691420629771	0.44955463898972	0.466551459449369	0.517491267742382	0.439990170940503	0.553997161748652	0.514559012990803	0.567605521608413	0.513270417184197	0.530002696866022	0.581814254217122	0.535966564544058	0.546193200615591	0.486941921054561	0.492904175563928	0.508431300897967	0.491909161082429	0.456270707127336
TCGA-A5-A0R6-01	0.519589912911685	0.491052753301235	0.592950243772615	0.554134454632379	0.568612250627179	0.473474373507526	0.527628442286467	0.54983283908025	0.581338341816703	0.657905998140016	0.494244599703275	0.532347111338758	0.629276350001568	0.489504296850986	0.630004693223385	0.549160787732231	0.63740301139276	0.59822389894806	0.603753125935613	0.62806496325533	0.572407893215341	0.591636013822753	0.532417220066734	0.548441748332241	0.608949321521258	0.557430583787647	0.568722101311899
TCGA-A5-A0R7-01	0.502985031898325	0.476576190648172	0.578403817528261	0.529441897522433	0.582474627234239	0.444631335857188	0.494901957552553	0.512480783634711	0.523459447492279	0.58046254031899	0.48708347537132	0.519976228914595	0.557361370266343	0.473304824450414	0.578889700381051	0.542710770194357	0.636456128318905	0.564796571177863	0.565954871666015	0.603156252753753	0.580788673554075	0.568206633981202	0.530736444620749	0.50609707047505	0.586869765864951	0.585103632009314	0.516169707614854
TCGA-A5-A0R8-01	0.476223171191937	0.413523822180945	0.539411622482023	0.494914253606799	0.534362766762631	0.448040985987699	0.497590925935836	0.511969719640323	0.521015178987249	0.592435761285003	0.499918684184138	0.485369482589554	0.560326724846069	0.46247681148324	0.605044222109086	0.501330362453402	0.576737781054934	0.557216444373478	0.52716204518863	0.539317725381848	0.520994967794078	0.542738367259104	0.522096224875723	0.517372349861126	0.543320613631269	0.486648201419225	0.538498508184188
TCGA-A5-A0R9-01	0.481072508131832	0.454737133969769	0.547032181330125	0.51083492394884	0.563148604993068	0.43687205595652	0.4716288135201	0.492213027283104	0.508193709732723	0.564432287804671	0.46487034109062	0.494989021761592	0.542598550145957	0.448271345244564	0.567048451712326	0.533060110340636	0.59723084898588	0.548890073938739	0.54173165294113	0.575619731410142	0.543808614683333	0.549669835215841	0.497914598843738	0.503635382534869	0.550120391367867	0.542308726339165	0.492461339182033
