TCGA_barcode	CALU1	EBC1	EPLC272H	HARA	HCC15	HCC1588	HCC95	HLFA	KNS62	LC1F	LK2	LOUNH91	LUDLU1	NCIH1385	NCIH1869	NCIH2170	NCIH226	NCIH520	RERFLCAI	RERFLCSQ1	SKMES1	SQ1	SW1573	SW900
TCGA-63-7023-01	0.582289129893177	0.599600247312103	0.656162288741391	0.70027738546979	0.598752924904843	0.531124573344327	0.720071186838888	0.564609555995523	0.71673442671416	0.677230185340851	0.650885335250894	0.544140548892279	0.695209943690061	0.485580291716272	0.608426306065344	0.638528211812588	0.56954218113777	0.606744703781906	0.60516358440321	0.62376711550655	0.59524260826214	0.556616240304984	0.578102357021873	0.662601617587973
TCGA-63-A5M9-01	0.580385062908195	0.595584814371797	0.610299767904281	0.694232497720824	0.598094502327035	0.494596865023072	0.74149372180567	0.57129087871871	0.710017487769353	0.724395366048362	0.684096705398734	0.554545174292318	0.691610929509604	0.535140319407162	0.611085355032147	0.658855773958203	0.572827920019414	0.656302134245813	0.605518690389611	0.641701650327549	0.609952484055195	0.554362261828397	0.575148133079014	0.666329204779788
TCGA-63-A5MB-01	0.554226407556049	0.593318127658012	0.645901353625929	0.689930772071467	0.595635048312355	0.52092104310631	0.751926660421676	0.540447243175228	0.712567794320447	0.760451785984448	0.649337756138508	0.549837561887101	0.716186816806218	0.526664680444418	0.583526868627167	0.621602786961134	0.57628927015896	0.639239467651434	0.595229675529363	0.642156271455483	0.589837910413051	0.533049544690433	0.583513739481291	0.661213346890941
TCGA-63-A5MG-01	0.588905618310734	0.622981581561143	0.646086995871043	0.667315022039004	0.604227962250754	0.594708428657929	0.694103320684227	0.550210662583667	0.736356298573229	0.659278083685532	0.593143936988656	0.541698995835585	0.709659097457279	0.447177936312011	0.646038979709968	0.63798188886461	0.58698263615467	0.559251628878429	0.560979002254696	0.588415156928472	0.599357274857644	0.593166574308058	0.564688523298814	0.653047056464844
TCGA-63-A5MH-01	0.563867246590796	0.569038317094346	0.645318860583338	0.654073584283989	0.570797274940911	0.513395370237347	0.673522702816058	0.556888633057504	0.681226202684602	0.602253863429911	0.585083160049091	0.526358719031136	0.654821599628967	0.419721241172724	0.577911065416048	0.570462990351445	0.570058886755703	0.548967689139398	0.567892367720297	0.616544343177862	0.597030369103679	0.540742104879183	0.554182958714559	0.632076490340087
TCGA-63-A5MI-01	0.565475917252231	0.577771040249779	0.577329006091334	0.683304770108235	0.56084077278717	0.529815627017025	0.678617587814678	0.533689720383072	0.700253228869105	0.649766328812067	0.628380942169427	0.50764472343421	0.668226959630956	0.461605367404235	0.622693166332236	0.659134860140322	0.534668091786511	0.589932444552222	0.548569166140879	0.573928553347739	0.59559701364565	0.562238436959147	0.529091407147592	0.621827167999145
TCGA-63-A5MJ-01	0.533827496610186	0.586248730939155	0.670322873065462	0.703735600645335	0.586615648450152	0.502798602586919	0.759799170010583	0.549465814722811	0.717296602904075	0.746714782106362	0.620693398422245	0.547875989378935	0.723068851087752	0.454019568769033	0.563013426306253	0.602194336440034	0.58161628128879	0.60117955237921	0.562396354761448	0.654947697322703	0.576348385048978	0.51787384762309	0.573351204677721	0.62989745276946
TCGA-63-A5ML-01	0.576961360647812	0.600775588754835	0.637760467747831	0.67931011245467	0.624305999228967	0.514005412127625	0.733628953635478	0.56424953589411	0.71409346463922	0.699781058942912	0.63589827729714	0.558553270426633	0.724721135489131	0.520056341137927	0.590886796287523	0.619468940966838	0.584015959674348	0.625011757059144	0.605548402229593	0.652118182095389	0.621429553924219	0.540303981689025	0.589106586081966	0.671165414094644
TCGA-63-A5MM-01	0.663804815589618	0.691535315245806	0.708586080367465	0.706831364964116	0.664747699886122	0.604952944075175	0.728158684975547	0.628373393943005	0.767047838053399	0.681060526644183	0.6073578287365	0.611090534054753	0.739267095928083	0.46036945835212	0.665590846274445	0.660397580743484	0.648870614914309	0.577682755014799	0.623308643154735	0.655317656769053	0.673016489639528	0.634327094459579	0.621324621196437	0.717386632258863
TCGA-63-A5MN-01	0.662360858604746	0.680277529101018	0.663138231176993	0.715921320993392	0.658832975960149	0.592010327320962	0.713552101431074	0.606383871839877	0.731628785978695	0.682167915808465	0.650201132874674	0.607211226228677	0.718304779889683	0.530371648006441	0.700386081957696	0.706133843918993	0.611388199753692	0.624586725222282	0.63027726173496	0.659488849416492	0.691941840988537	0.667493981104102	0.611285801781973	0.72740453011602
TCGA-63-A5MP-01	0.56571926912759	0.601917337530747	0.633762363779985	0.715487296119912	0.599418378866857	0.541797366141644	0.743327788870777	0.540869500712207	0.735099097934675	0.728066245483756	0.662255425627162	0.535730511289406	0.72262562802961	0.488762187240159	0.61090827421853	0.647404708005625	0.56387781255245	0.631976623393851	0.583656159232844	0.62261992499555	0.595972577534416	0.556633053983558	0.564879868095863	0.651723674795709
TCGA-63-A5MR-01	0.570250148477282	0.625439923701659	0.710355531139293	0.731909500896827	0.613983261901934	0.568204433015493	0.733819851630044	0.552236923469745	0.761406479848981	0.675799660821037	0.590492372074425	0.558603088553257	0.74207811017801	0.437669799155861	0.61423032156883	0.613576723069598	0.587681440577585	0.566040036790829	0.566150085332627	0.637858243332969	0.614447001957341	0.589035016962137	0.568202633531157	0.65478990830543
TCGA-63-A5MS-01	0.564150923673561	0.6027158815392	0.652391923369434	0.719161710687463	0.61435939964848	0.549391003808229	0.73749319387273	0.564417451248126	0.740584537187605	0.698177522901583	0.647276739526688	0.549221302504856	0.721390356661817	0.493722209456768	0.603311109384761	0.651034721659849	0.583743257942539	0.638390289422379	0.57413249065759	0.644413819589211	0.610670530724597	0.564795689191026	0.584234579655185	0.67088763676491
TCGA-63-A5MT-01	0.619860512231496	0.666887129408537	0.704260548279414	0.716001082612655	0.669866768877628	0.608256557381319	0.728065096114528	0.599033277803047	0.764170560695508	0.676809421421215	0.616067187058705	0.600428869580672	0.749483419048084	0.472100864887716	0.669143106477256	0.667655349813443	0.633066746997588	0.593242797556053	0.601714984363803	0.661327899991849	0.656203929724876	0.646576021312745	0.613128188939594	0.699901551386581
TCGA-63-A5MU-01	0.527898136078526	0.581708437385562	0.645259206442675	0.697600044912139	0.576542481163184	0.534297307084264	0.69863612299708	0.513541708338769	0.713490135361956	0.666569012632454	0.569372224527567	0.505496303169357	0.725432212852755	0.41701438321124	0.581776253087411	0.614010099564864	0.548013075553389	0.54759648652478	0.522978261795812	0.58871284233663	0.56882581868156	0.558589669990507	0.531942810275156	0.610032429922091
TCGA-63-A5MV-01	0.54083422294627	0.546198634427938	0.591569729420611	0.68138318359332	0.54188576033039	0.496544606087749	0.693782808748429	0.526558033268893	0.690436528283717	0.66584945146718	0.62436570543583	0.498441104162117	0.669221728563415	0.478912887094793	0.563857255042461	0.618539285654282	0.526930840013695	0.593795668805254	0.557994708228208	0.598252434502198	0.592794603185001	0.512437521852323	0.526835872270197	0.616130605173021
TCGA-63-A5MW-01	0.544721417690979	0.553193686396873	0.607667571362086	0.680674977250068	0.573226062745341	0.452662750044495	0.694361667663198	0.567349632284626	0.667514726450717	0.653163077550027	0.636206062010233	0.549519352131225	0.635614998213825	0.500619908428195	0.532905573139704	0.586363748301435	0.554381364133714	0.619520054819207	0.592434058723706	0.649066510909289	0.600941027250636	0.486106319360994	0.580097091643136	0.644960097343463
