TCGA_barcode	ASPC1	BXPC3	CAPAN1	CAPAN2	CFPAC1	DANG	HPAC	HPAFII	HS766T	HUPT3	HUPT4	KP2	KP3	KP4	L33	MIAPACA2	PANC0203	PANC0213	PANC0327	PANC0403	PANC0504	PANC0813	PANC1	PANC1005	PATU8902	PATU8988S	PATU8988T	PK1	PK45H	PK59	PSN1	QGP1	SNU213	SNU324	SNU410	SU8686	SUIT2	SW1990	T3M4	TCCPAN2	YAPC
TCGA-2J-AABO-01	0.621480546046595	0.606030404498343	0.663867642067555	0.635666987141905	0.666569216530971	0.585728180633496	0.60294249767147	0.635709360333346	0.586602104500645	0.617088092416818	0.605871213408342	0.587118695865863	0.584563198728674	0.554627133007095	0.572247853147632	0.536577471694245	0.624437985164317	0.623430305611273	0.633941022467654	0.627559704832072	0.654873332046719	0.616159100481353	0.556570647687013	0.604113044082712	0.5436247215386	0.676285938327514	0.537543846344774	0.585910513787747	0.605815378580973	0.594793727292574	0.598705471770238	0.560751721759413	0.629501356254156	0.575618275677723	0.612217007807152	0.632175751712344	0.610869111814271	0.605430399957601	0.568444321436318	0.637563690039545	0.624756227626006
TCGA-2J-AABP-01	0.475955656188099	0.50752936908826	0.506601129848977	0.505190929556615	0.527042225577879	0.542683909309911	0.494720840099315	0.475663055667854	0.556752439588451	0.528730902128621	0.489927837584017	0.505433331232568	0.520317969539356	0.609006515294492	0.527193964964685	0.565176640970119	0.528846242428381	0.559520789461518	0.539730813765456	0.507113795457025	0.491459194343702	0.49196623306305	0.581386602008848	0.519462570901137	0.484270075054219	0.493174362038616	0.573580580491381	0.49788284254398	0.580317220053125	0.508068776106466	0.571780813410899	0.491810074749686	0.531044011383968	0.540689776044535	0.61399252066982	0.551470768742188	0.533902879756834	0.573862379586918	0.50300630747735	0.531599875834596	0.530009711932734
TCGA-2J-AABT-01	0.620300302208844	0.558827619079044	0.634327410702711	0.601452033591328	0.618828054096035	0.563491713490149	0.578732167489611	0.605355933980269	0.569487474627617	0.58096353860226	0.565529240264656	0.556598931455644	0.577111967427348	0.569289076582627	0.569866560381512	0.536090451522261	0.591933559939985	0.588967419084727	0.591165930591272	0.586584292750081	0.611485877389639	0.562397669865082	0.556033828070962	0.572260542403196	0.527452566144933	0.674830786834957	0.55747432748014	0.54061626633734	0.592038964482129	0.551737666658793	0.594653652818947	0.555949942997903	0.592645265034387	0.576631089134554	0.62093157820186	0.618861714213696	0.598745320617911	0.579774806864672	0.550444004462098	0.619137848101054	0.595614054285208
TCGA-2J-AABU-01	0.643788405583904	0.678829042034052	0.702549101459565	0.693335914971926	0.712156452026439	0.64252898377232	0.645946669274665	0.666803348312585	0.635318631260944	0.685846017366286	0.660919435006319	0.654573155585753	0.605240629277927	0.589502136907944	0.628202790349113	0.562476006304882	0.678341450127568	0.683936108558984	0.691871285237827	0.671547395835967	0.714083157213219	0.652733223967473	0.585217384720693	0.649047061578718	0.583924287985923	0.667886653296622	0.568379827690309	0.637253014146454	0.650220876998082	0.644617623135797	0.639252126580041	0.513671244155142	0.711127451907824	0.619247121381497	0.666643875834701	0.67968943765581	0.641298106337766	0.660474445882484	0.643395870035027	0.668095997286451	0.682622980782222
TCGA-2J-AABV-01	0.551550484383737	0.523302559770065	0.615467463485168	0.559185263444055	0.582549795053965	0.512685357543777	0.52200634606123	0.560707175619691	0.492242062069157	0.548646074800251	0.535745755342897	0.514070136491266	0.527179845150888	0.490543091011984	0.509654813898565	0.484186979480337	0.555649372394315	0.547393835565002	0.563938408983251	0.548875819736727	0.564763860759117	0.526233500479567	0.497093683011502	0.543321148816205	0.486275705620142	0.626489121200131	0.493016743915567	0.508645591774552	0.527862843787421	0.517677805518723	0.549524065850797	0.494602016148944	0.553248162483093	0.523195404373735	0.545864480863941	0.565101533809279	0.542968987642081	0.524075743443646	0.491924587873992	0.575686852008558	0.557248978532747
TCGA-2L-AAQA-01	0.695194977459935	0.671636591206704	0.734167681097716	0.698927593970284	0.72486316449626	0.619961789147537	0.663722101902411	0.725188619162742	0.623956045792834	0.682179959569128	0.655848189998421	0.625499942511	0.606714171303985	0.556723825604525	0.614762284447628	0.549970320568059	0.687461849238121	0.683036263199768	0.687785208952574	0.706257235086231	0.724575773576004	0.682519465280626	0.568724112267387	0.66723696101509	0.597016274149886	0.716529969577478	0.561542765389372	0.633584665852603	0.639888546950174	0.656728907989919	0.660203289919627	0.506836362046567	0.690627682818311	0.629873934740471	0.644549180551186	0.670781107464505	0.63707566760089	0.642654050888946	0.621016610722156	0.68132198897618	0.666891815966302
TCGA-2L-AAQE-01	0.666624674425517	0.664214253882016	0.727756047822298	0.716729352167791	0.715311675823857	0.631104330729672	0.676946644362261	0.684700257725544	0.628503402480729	0.680130210205769	0.676909358372392	0.650079913859729	0.62034442067999	0.589672190004382	0.627574445871293	0.569002177901887	0.692803036758696	0.67911203595624	0.694472523808753	0.689890472564253	0.714339708466903	0.676380412902694	0.600699317157795	0.660627071738358	0.602114053248294	0.693158786325511	0.580973695701029	0.645612574320237	0.646792252069444	0.644077542578107	0.648823544945945	0.550863209937558	0.709357783900524	0.636213529272647	0.663851817038325	0.69094810246082	0.641525849306602	0.658291440549937	0.626313743254473	0.671430674410243	0.690848059915453
TCGA-2L-AAQI-01	0.612339327351856	0.60067757293408	0.683901971498162	0.639703425756166	0.66869105951466	0.576115406602088	0.592690006322238	0.629238577108503	0.565354601386419	0.618308658689526	0.612721241930417	0.58514002855095	0.58533133827902	0.539557034379843	0.585496505827067	0.511015215411533	0.626391092293057	0.621359783364565	0.633799350580856	0.625406592132879	0.660934081020274	0.611070191789022	0.541638418358847	0.602552767816206	0.534569587833137	0.678967737678215	0.536228860134934	0.572158394351636	0.588641812590184	0.568047198202502	0.593836813879936	0.562453168114572	0.635091391906091	0.576971414354481	0.602954112455907	0.644352799885307	0.615403707277772	0.589816709733983	0.577557940459844	0.637090877133639	0.625012780020269
TCGA-2L-AAQJ-01	0.670074293662708	0.650920658965892	0.707519290822724	0.668025497027739	0.704181824173478	0.603170742248156	0.637124779779454	0.688285846704261	0.610973590464853	0.64420787853779	0.635854151960949	0.595610151950563	0.602983706364768	0.555217838990032	0.598215261899346	0.532287369174062	0.655353495508578	0.655815195361103	0.665098789113648	0.669965402063713	0.699376304903301	0.654396864958248	0.552709835548522	0.637364820714035	0.578838307216425	0.699908504606983	0.553115835252137	0.600996079166772	0.618380928447685	0.625238278216262	0.632686862318192	0.505862910830339	0.662314615829346	0.618377264234138	0.625575134781231	0.655035834137722	0.634694188123168	0.624064390425322	0.601263173228628	0.670478166409706	0.644801379887009
TCGA-2L-AAQL-01	0.602808163752694	0.5622665702976	0.639585516330908	0.599572092664953	0.619293571660739	0.537487491859329	0.550556321841212	0.604169254841634	0.530837141219281	0.576421440072839	0.557802603679982	0.540617798575168	0.555106140692623	0.519958429525142	0.53155755994603	0.505984342720729	0.584410913977403	0.571120559761039	0.585892575380113	0.585607723666151	0.603597609556144	0.570898989224404	0.527885834597009	0.566933720075191	0.512921916723443	0.655141169286342	0.503143825007812	0.534443427070689	0.559672165610465	0.555009613177117	0.567213684161532	0.531767391719312	0.576266327983385	0.541000294714504	0.581189401326264	0.596507183219287	0.569037712830419	0.561313790852821	0.52010587466775	0.613134224198594	0.588785090201448
