TCGA_barcode	59M	A2780	CAOV3	CAOV4	COV318	COV362	COV644	EFO21	EFO27	ES2	FUOV1	HEYA8	IGROV1	JHOC5	JHOM1	JHOM2B	JHOS2	JHOS4	KURAMOCHI	MCAS	OAW28	OAW42	OC314	ONCODG1	OV56	OV7	OV90	OVCAR4	OVCAR8	OVISE	OVK18	OVMANA	OVSAHO	OVTOKO	RMGI	RMUGS	SKOV3	SNU119	SNU8	SNU840	TOV112D	TOV21G	TYKNU
TCGA-30-1862-01	0.609859808451018	0.522352837842293	0.648298645152659	0.718002929946446	0.641979812360872	0.697930056922303	0.562658673718218	0.646628267280434	0.610978155521762	0.499094440538673	0.600705905567136	0.563382049630477	0.61828087615244	0.532458683608028	0.574005601426249	0.570125041000567	0.648275178619867	0.675083508713831	0.725293959970438	0.545936287403703	0.653821821902004	0.593811726518948	0.577548636634715	0.671515003792099	0.594044397396143	0.567341031096971	0.510869057683703	0.667401238619343	0.583045218266001	0.598983527021851	0.519736986608635	0.60735318709183	0.698925347756466	0.553144870440027	0.568062723074294	0.569117859399143	0.633144586158604	0.668437875098011	0.627015151924998	0.606406770288735	0.554548646144452	0.594902781549282	0.524806380308714
TCGA-30-1866-01	0.587531261779287	0.4880193030029	0.645619164280183	0.695917439336974	0.639243154095846	0.679077125491619	0.520461301223508	0.583960747482508	0.520065307833555	0.488378515553761	0.581710250507468	0.540518074982081	0.563305891321166	0.537830844332004	0.553872608538252	0.488064227353051	0.641999666144738	0.651998734579906	0.668231204116539	0.483286936694863	0.662726116366031	0.563097895708799	0.531885465204516	0.666132583161881	0.529076608609867	0.532792397134151	0.478373009211202	0.631446669006436	0.54805581708228	0.538196582736089	0.488953927074233	0.550457148591715	0.683898080623747	0.499697841760037	0.552673995510772	0.529245861708019	0.568877602707114	0.632460107802671	0.602235090356703	0.559801716954052	0.506887082791685	0.537345898869333	0.460425085349651
TCGA-30-1891-01	0.603037599606026	0.507398746827123	0.684196970833064	0.701535609885392	0.617012340724039	0.709156251587398	0.57176950677106	0.617362080198669	0.591382866278345	0.508971899218986	0.624101598567391	0.581606815476888	0.59809826895448	0.531877932855852	0.569872771346183	0.546486968710654	0.676655261861241	0.689746968158443	0.691245058358767	0.533375306516364	0.638315134944353	0.600844274477248	0.569970374208805	0.651710357864143	0.583814701857757	0.59286244565264	0.500672443217468	0.664983412016177	0.583591634976942	0.563957688643213	0.488417132310247	0.551314379395617	0.67431004324024	0.539820059076566	0.550427844350982	0.576631684992742	0.608042010577589	0.670834833465878	0.622923939694759	0.615448911055343	0.541312508907118	0.573255123892137	0.484227599206555
TCGA-30-1892-01	0.588609402096727	0.515383328069614	0.649887835791465	0.712548979101023	0.611276574702081	0.695337875905192	0.529565688566023	0.602374230326195	0.562181504915453	0.510202608690894	0.606460041940369	0.567238023846296	0.589995331821737	0.538603599647172	0.567306354619118	0.519252385943343	0.663924536142822	0.662308015171324	0.69176118132318	0.502798405242717	0.633922624979416	0.583104730222801	0.555994251745758	0.660636928576398	0.568515929079975	0.561576591178366	0.477859426615652	0.652507173136629	0.568558310977716	0.564160362902652	0.482282144967875	0.554044261474834	0.688927976001446	0.532817632328314	0.546826485103811	0.553030330092894	0.606361562958482	0.65757493369907	0.609527988559277	0.583731406160636	0.533641797490085	0.563934261949443	0.48602803583934
TCGA-31-1944-01	0.609561274464311	0.505587881284534	0.672122597198596	0.716077418018909	0.63816043847156	0.708232538617361	0.576845171120851	0.652860980002647	0.60506342264902	0.514232080238891	0.623057676150627	0.582273786820227	0.623004131353484	0.553247750255619	0.571290273378079	0.584619214620118	0.669151026872632	0.69578573205013	0.713464228520556	0.55919372435344	0.639827157779887	0.620715976496572	0.578653506990645	0.666965532412412	0.5909723951572	0.576579046920497	0.526245223868789	0.667358734171089	0.592233121683146	0.601527992151745	0.499779024052846	0.605235982093894	0.699745128714896	0.5607994586706	0.580838712331846	0.594400070779584	0.639343018499242	0.672030865693151	0.646037342013333	0.615130108601876	0.534358449520206	0.590482784874085	0.521959864719828
TCGA-31-1946-01	0.606468924428272	0.524420848817651	0.666183236125075	0.716492925149442	0.629992695072121	0.704669261959456	0.575122627784324	0.65240576283928	0.607710118839841	0.515412973627438	0.612133205119617	0.590469355018132	0.617150607117729	0.556074900063744	0.583310873801926	0.5840211153498	0.660588389189765	0.688178151056325	0.723887673556209	0.551455987222698	0.652111851175476	0.619093612052112	0.585742373982331	0.665797289302793	0.604948578624411	0.576681853749996	0.527862928172564	0.670924041072493	0.58400367705481	0.60590557299421	0.518846333992402	0.613315115402446	0.708583371941613	0.552654347595137	0.575794773196987	0.581209837077996	0.63858965857679	0.675691564617412	0.642235692434344	0.618188375532255	0.538881578809047	0.589320805394142	0.523618084627515
TCGA-31-1950-01	0.543560546785515	0.487936238037578	0.591755735361247	0.657830293070773	0.579361354917312	0.615101606917217	0.52832517275358	0.609532866306777	0.56567267804092	0.429414227370309	0.536227497841684	0.508611445998541	0.574519769695002	0.494185866233939	0.512244203322011	0.542920505212237	0.58048229831168	0.631637584914334	0.671679005449185	0.510269140162942	0.630621565825243	0.570997637397139	0.519628835297059	0.618654871087836	0.549979361976196	0.49481545632991	0.504378704587691	0.614568639330592	0.508792166632525	0.571470870214393	0.515319146047654	0.579765648183226	0.647935711768038	0.509567395958785	0.514186054910973	0.546612332917043	0.576778057723494	0.610511191813312	0.563037237867847	0.558417928695314	0.485054310111774	0.535337610416251	0.486657952289987
TCGA-31-1951-01	0.645565974574517	0.559148441128364	0.70441680658917	0.791565442544063	0.671947788372705	0.750714480738917	0.588085638413722	0.684024985166972	0.639979093615704	0.55194747413736	0.675895119083806	0.624116480971143	0.640117638471538	0.598342927468012	0.617630443231096	0.593864247330668	0.710070288200016	0.725960149626518	0.74371590738678	0.56506458499739	0.690675278460145	0.637379493505073	0.657448705084246	0.714544178794139	0.633108348934801	0.613688380340574	0.530738118205472	0.702192255064837	0.638829305008148	0.632936473037643	0.555061322891776	0.618496965643354	0.74931165413294	0.580860531429644	0.596343800634131	0.607533189224955	0.670691200544485	0.721192773056493	0.662231611469341	0.644904596973419	0.595268135988716	0.624725913486641	0.55455362522364
TCGA-31-1953-01	0.599793900424881	0.533060589691562	0.659052330246465	0.73154400111302	0.631697904388159	0.708555814786612	0.572001817639064	0.647318148419526	0.62390135795772	0.513088692676051	0.607672966454539	0.585020383860282	0.622038401217449	0.561301811300684	0.57850915280095	0.591926780469313	0.660169027630723	0.68897150068815	0.715562181999456	0.564875340873767	0.655755885327282	0.627449344262777	0.595655949557695	0.675519473248072	0.617848564218181	0.579299095567597	0.5221439533323	0.675290175107376	0.58391668156023	0.62763448500037	0.53096962713376	0.612355959573029	0.700158417448593	0.572909575053787	0.572375558759162	0.587068035782955	0.640208605110556	0.681945275366204	0.63046508039374	0.61415120128375	0.546258614157966	0.612471707845213	0.541229873348229
TCGA-31-1956-01	0.597741970902463	0.523695999380045	0.669281098212999	0.725862980431057	0.626671837803184	0.727633819648012	0.575046260627692	0.641388788066528	0.595110296000754	0.518305034796103	0.624875811935642	0.591640777868584	0.614295380357011	0.559399850882384	0.56393069696061	0.58237320359037	0.669074947573659	0.704879695287343	0.698335387793031	0.556319096191557	0.658768013712218	0.615937986417614	0.593100137255528	0.664083686706492	0.606072545675077	0.590915541588146	0.518959031515109	0.66590853934314	0.585687703604551	0.590625299692751	0.509273551556739	0.588997356761429	0.696536208668822	0.558692121746772	0.566284168015317	0.580179005173902	0.62766143916907	0.684387614006794	0.620032509463164	0.605278865800391	0.549510345564776	0.592742162889157	0.527318351176085
