TCGA_barcode	ACCMESO1	DM3	ISTMES1	ISTMES2	JL1	MPP89	MSTO211H	NCIH2052	NCIH2452	NCIH28	RS5
TCGA-MQ-A4LM-01	0.650201034822149	0.663360346140537	0.733290109679505	0.72771685507551	0.748338883150223	0.705307573546615	0.655160262357947	0.696458167672039	0.70380274650181	0.613052808825496	0.700901869522075
TCGA-MQ-A4LP-01	0.548179197404128	0.553112355955151	0.611321383680541	0.62962511887649	0.638752035208015	0.595058573853379	0.544352497063628	0.573120796485174	0.595083910770607	0.521243073492927	0.590488062481488
TCGA-MQ-A4LV-01	0.611842421444429	0.582503407014387	0.749359732006653	0.725193446979235	0.742403340411083	0.673123543230515	0.616202316706667	0.65713931278971	0.682422519130448	0.608116510061999	0.618808078338893
TCGA-MQ-A6BL-01	0.618511065353038	0.582816193805051	0.676324997638228	0.684134104697713	0.692174070360195	0.6512342823481	0.592848931466532	0.639285173117176	0.659945392738157	0.563958433658582	0.621749254958355
TCGA-MQ-A6BQ-01	0.537334774060289	0.515136143043899	0.606497966166036	0.632977636316888	0.614726613158333	0.557385894612931	0.518528205123511	0.551191109623248	0.601692118813096	0.517736569224761	0.553344211997908
TCGA-MQ-A6BR-01	0.584902420489349	0.574960691207385	0.646315737550614	0.648963025297902	0.649042989782434	0.634484020679109	0.539093238151646	0.601395423111462	0.625055770311062	0.524422943312751	0.622611315770173
TCGA-MQ-A6BS-01	0.524151335527878	0.550510596427883	0.634116853465072	0.640432042823689	0.635853771593927	0.570926901361158	0.530927025235603	0.576228552981168	0.593436501482156	0.54618183673983	0.576685797031656
TCGA-NQ-A57I-01	0.645043385983071	0.692908119799154	0.679737840420316	0.714683994915143	0.700820305203322	0.708184922214749	0.683402820844235	0.714880124276002	0.699399925400403	0.615977789629251	0.719238853463002
TCGA-NQ-A638-01	0.556885200298446	0.53869068276179	0.620002706176693	0.639867154816425	0.626647915808141	0.583708296244665	0.541938746912266	0.583502553803979	0.616228094961259	0.522523681826702	0.564800366739205
TCGA-SC-A6LM-01	0.514192799758466	0.504119591494471	0.625897846508693	0.628227560170155	0.624155177655371	0.56244127404333	0.533251105360322	0.556719635517514	0.56280058369119	0.539698378981263	0.529203915399375
TCGA-SC-A6LN-01	0.531881389841579	0.533371921696472	0.619130318084256	0.60699940523792	0.623285512157907	0.593459685152884	0.524305109596695	0.5870541701332	0.580176959476177	0.520349656495985	0.567018531756764
TCGA-SC-A6LP-01	0.662014152310201	0.63819239328617	0.675604247367783	0.6899473498104	0.707668523245775	0.708485784580922	0.630003080099202	0.659894993865008	0.69095514759236	0.554015841160226	0.687283024087517
TCGA-SC-A6LQ-01	0.584496042093462	0.568578931926324	0.666988898282972	0.682869883543702	0.677095847065881	0.627772763964112	0.575214602047005	0.613319380273065	0.650242721498564	0.554947949190385	0.615901449472886
TCGA-SC-A6LR-01	0.519524495261031	0.526300554644919	0.580832018884475	0.597728694871539	0.583068304054178	0.562439238304661	0.520312739416607	0.548807109228254	0.584032562840873	0.508751097873625	0.564574685398222
TCGA-SC-AA5Z-01	0.545016309672901	0.579773599799942	0.615960799622039	0.626854637405893	0.630263371241222	0.601232606133545	0.535588967184422	0.59444427947323	0.616023811005027	0.522394770699387	0.617248496656882
TCGA-SH-A7BC-01	0.580605778574269	0.574991855011514	0.694279264872421	0.685863839508495	0.676739048365389	0.635920121629596	0.585829361755463	0.633017494800915	0.650050830388613	0.565527525826946	0.607792773305308
TCGA-SH-A7BD-01	0.527123707064325	0.518000570460931	0.615661863900291	0.618576358496653	0.636884543138934	0.557044318577617	0.514790460248831	0.557229420077102	0.598975206693582	0.51363339666824	0.5565820521024
TCGA-SH-A7BH-01	0.487793949248151	0.467943512001063	0.483155472813542	0.483120046359224	0.508126910817849	0.48944130841339	0.4583534771467	0.475649252210545	0.496842659746373	0.437148343791776	0.49653757855541
TCGA-SH-A9CT-01	0.566593526957136	0.580656890766323	0.629012451972181	0.629359837401952	0.642085792911406	0.627483915250294	0.55274407826836	0.611152764169811	0.623699629503498	0.532959768031474	0.61955176097594
TCGA-SH-A9CU-01	0.531073991926584	0.530095049478455	0.625082104183326	0.608523585352271	0.617730171085504	0.585623940207225	0.542255188358346	0.58944878428983	0.579978969661337	0.523561797469677	0.55545472672456
