TCGA_barcode	GI1	H4	HS683	NMCG1	SNU738	SW1088	SW1783	TM31
TCGA-DB-A4XG-01	0.492782387539386	0.530517885652345	0.492954067231387	0.517234345988009	0.477991600796182	0.490174432370697	0.494101321489157	0.500217613208922
TCGA-DB-A4XH-01	0.46872297377524	0.503246219891937	0.468853739623419	0.497938155164346	0.467771493775572	0.471342504271656	0.468948621048615	0.482529536011026
TCGA-DB-A64L-01	0.437337684122059	0.472984492480115	0.434959651371311	0.467539703808967	0.432665201873443	0.44380607372433	0.433453671838674	0.450805069513795
TCGA-DB-A64O-01	0.483908125036804	0.512849676547475	0.497588772458834	0.513310686039153	0.463846344362765	0.493201546705742	0.498846823303464	0.486627093379396
TCGA-DB-A64P-01	0.511855871180942	0.543383614661467	0.516030963093521	0.522935613100926	0.492517287118369	0.520855544190458	0.515645314267067	0.513945095335728
TCGA-DB-A64Q-01	0.474080130682019	0.501768126189655	0.477438041128068	0.497939148824903	0.460256145576857	0.476871015869587	0.472096016127473	0.483504599781047
TCGA-DB-A64R-01	0.462538789022895	0.501188196709183	0.463306415515432	0.48982377588181	0.462050458192446	0.461861087855821	0.460000715316463	0.47291005290543
TCGA-DB-A64S-01	0.520864800146073	0.559533201444734	0.523841119884546	0.520202687523419	0.50639261348932	0.526813046685323	0.522669072811639	0.517618322511422
TCGA-DB-A64U-01	0.481828982767983	0.516890433735247	0.484209953061039	0.501949959405343	0.474018152601166	0.48265641253103	0.480782036195851	0.48885198187399
TCGA-DB-A64V-01	0.473766545749511	0.505953212263858	0.472639864958125	0.485027684897954	0.457737278698101	0.485334495706987	0.475499730789018	0.482005027434281
TCGA-DB-A64W-01	0.484117660741657	0.520877335164971	0.48488393739288	0.515969041611034	0.484321976412876	0.48535082787908	0.479442293520806	0.496415103745601
TCGA-DB-A64X-01	0.488239488203623	0.517918401035007	0.491431556811352	0.501032149729504	0.476739972882741	0.492343791392411	0.49396858539287	0.502750974673273
TCGA-DB-A75K-01	0.492401525032357	0.532046462854459	0.494149484008786	0.509480088843437	0.484062410486065	0.50456212090175	0.500120533113905	0.507746864714118
TCGA-DB-A75L-01	0.498969070367171	0.531385961577625	0.496452917842735	0.514241207392144	0.492535926804366	0.496218250685684	0.494438956757262	0.508711388721874
TCGA-DB-A75M-01	0.498714407415743	0.533499139993816	0.503016114397985	0.496623839805786	0.489231249242428	0.503863260428579	0.504303869779808	0.505683858551381
TCGA-DB-A75O-01	0.461699769422982	0.499181353348741	0.458889325273958	0.462797085801568	0.460709321392502	0.47379590374124	0.463365442931102	0.466892460500991
TCGA-DB-A75P-01	0.467467543211389	0.505083661762027	0.478456403813075	0.50614935222085	0.465497934076202	0.477523550175363	0.484859533254677	0.495106888323318
TCGA-DH-5140-01	0.544754610853791	0.568611856670773	0.55664060926142	0.569828654835619	0.524420929238841	0.541834967318126	0.54792093289827	0.54621192127286
TCGA-DH-5141-01	0.466232405133326	0.508000201720099	0.475482906941843	0.486110411532303	0.458093981974518	0.482595939660904	0.480349305180685	0.476992077324004
