TCGA_barcode	COLO680N	ECGI10	KYSE140	KYSE150	KYSE180	KYSE270	KYSE30	KYSE410	KYSE450	KYSE510	KYSE520	KYSE70	OE19	OE21	OE33	TE1	TE10	TE11	TE14	TE15	TE4	TE5	TE6	TE8	TE9
TCGA-JY-A6FD-01	0.683001851146547	0.731138254649142	0.693515131762296	0.651519564188404	0.737625178332054	0.65415926860108	0.662811714666668	0.658402140915471	0.674392656624847	0.695172317933923	0.733027133592209	0.614290991104372	0.570053470569579	0.784879869655055	0.654076742359566	0.64261639674438	0.709551782415957	0.778964276300105	0.761137737922269	0.746545598999944	0.640781983593518	0.657497965194917	0.670117207216988	0.660831656976147	0.781971201864673
TCGA-JY-A6FE-01	0.718484824692158	0.702287080128147	0.693654974940148	0.630865210857292	0.723674952007361	0.724011734499439	0.620656826355065	0.649041671182973	0.704045469357196	0.663525361097126	0.724239682096463	0.647444983713823	0.539385199911434	0.706936213019409	0.650100609651811	0.704052081293869	0.683868048249697	0.701219736035216	0.694188357956175	0.679632076389088	0.626651879883249	0.648806736879561	0.68734071080494	0.73604820542836	0.656575451688938
TCGA-JY-A6FG-01	0.613905959822026	0.64620582056172	0.624316710832384	0.624328620344049	0.634328469640161	0.551024214166164	0.60563356042349	0.597463216323343	0.578189625087491	0.658876051270184	0.660820455359367	0.563976720393758	0.53115768359857	0.729259020266407	0.605942013571465	0.574952509304154	0.62569003171679	0.722806456572274	0.669708819338018	0.679827471009	0.587634646933015	0.60743226613536	0.586638272593692	0.599619363920141	0.713124157633166
TCGA-JY-A6FH-01	0.62818080040093	0.62147392746543	0.571058267506165	0.585788458646132	0.591857445445968	0.579487466565471	0.617184199926304	0.587584401757057	0.589946049593198	0.638488031176642	0.597738643947069	0.543468196547087	0.73459249308131	0.60493615297743	0.673718495071131	0.604271993877382	0.621665875469598	0.625133813612088	0.661129677150685	0.623593442625816	0.636679473624932	0.622034497407075	0.605986606042546	0.590518033628585	0.642170449542181
TCGA-JY-A938-01	0.668179868858893	0.666989428430432	0.608192688491659	0.635571825365486	0.62999388320446	0.602717181553692	0.6328788854584	0.631455498919512	0.615625667115212	0.682011073638811	0.644909180777343	0.588032375286187	0.740645876354589	0.65816948726001	0.735273095393225	0.642050440613168	0.65307483970689	0.685397854442845	0.699064799462455	0.672501446882687	0.647742824360296	0.653921925621972	0.629462968787413	0.624580042617946	0.68046280885511
TCGA-JY-A939-01	0.590861985997548	0.590397510581248	0.561478420419532	0.568200466566558	0.572166565373297	0.574723767348607	0.579764576089228	0.586618527551007	0.589894419166179	0.616118720509214	0.564445580235388	0.548601739104428	0.71437337160398	0.567899081565977	0.672344522748152	0.587813699439435	0.594622045285916	0.598236199439126	0.636323192649624	0.593338519946499	0.633118483566488	0.596101667012087	0.609321399561168	0.567868936181773	0.585461618520308
TCGA-JY-A93C-01	0.592217120625246	0.590155172669508	0.539842313805054	0.578566094954657	0.559261607107081	0.541390770312123	0.574052798387477	0.578594739631225	0.557050045864346	0.61942309884391	0.573025973143647	0.529918336147543	0.703904104593699	0.571169429221136	0.678742339289068	0.580928370052223	0.583786190561187	0.602053527174614	0.623336981961055	0.597503038476198	0.60235010900216	0.594035730108532	0.584296425798486	0.557184390253479	0.598084524931275
TCGA-JY-A93D-01	0.649491856490441	0.650732579794447	0.616452087862473	0.617724810246249	0.637437745804598	0.632002970737493	0.633245507990297	0.654857184048676	0.642414701701889	0.667489022131942	0.635406152660588	0.601875840004322	0.739437389754057	0.62869973941079	0.719399878177011	0.647209728413191	0.639734749124686	0.654255015809783	0.680223781085603	0.647125030274756	0.667641514011872	0.654288403141273	0.665436262234615	0.636999273520301	0.643794732588311
TCGA-JY-A93E-01	0.671259367098195	0.658103039762919	0.601556766840448	0.644249930596319	0.622439657496731	0.6073677518853	0.653880994515173	0.657625324630629	0.624157685879039	0.685432412601946	0.645235218041266	0.589099337572346	0.739489755680235	0.631177213161445	0.762740190625022	0.654677915944707	0.64469034147073	0.664025155394367	0.678479676963068	0.676315597283757	0.666759751733743	0.665226491905746	0.645773349201296	0.621118906689023	0.664480890333246
TCGA-JY-A93F-01	0.630865199089422	0.656259877050922	0.639001200278559	0.657057837922466	0.660347029297338	0.558477166117526	0.626677412660948	0.609729432953777	0.595479722378257	0.66259542588271	0.671433001598395	0.585720534706674	0.557769717462158	0.714260667117157	0.633482037541985	0.592893506915442	0.636898638890941	0.721537542330516	0.66885699082463	0.727332872565853	0.570195448351951	0.621828349021671	0.598142730317998	0.591731109965916	0.711124031860953
TCGA-KH-A6WC-01	0.643928772832724	0.656095501216191	0.645803602871423	0.63307920439391	0.652352298226176	0.576462124877247	0.647750945359381	0.61446985402874	0.622327073759463	0.686611149434915	0.673515884594544	0.605419236000478	0.580872884114308	0.732154807163791	0.633690724724238	0.606439773614244	0.641336318033567	0.734132151592223	0.702806878293633	0.704500916992595	0.602064869340255	0.655919944937161	0.6424468534399	0.600880404225247	0.746829326394138
TCGA-L5-A43C-01	0.623293138035745	0.638514645493516	0.58880898243505	0.60233678543748	0.611752822553197	0.579943214128358	0.59632365724878	0.607275340235054	0.589462132229356	0.642293088496	0.606341109384788	0.559730957697949	0.718367360415287	0.624992715503429	0.698279929694324	0.602133030907232	0.622793169778107	0.650222749008474	0.662107804396436	0.625188329760607	0.64823186971851	0.614306636946633	0.610490919730894	0.591586564508666	0.627193249603217
TCGA-L5-A43E-01	0.577486783540746	0.575834926038153	0.519863088718946	0.581387272071272	0.538885311979533	0.511391278360756	0.586480622086303	0.583560162940335	0.532783401502081	0.611233793600283	0.549368521844082	0.503032992673147	0.733714624294616	0.542235957585059	0.704977860038485	0.569935795209043	0.560668086531951	0.589383749440998	0.596680822373067	0.60186816889817	0.579981563740525	0.592424938014668	0.557168842285814	0.519323969458062	0.581119461151801
TCGA-L5-A43J-01	0.744136042807567	0.761908814823696	0.729975975887006	0.675259569289508	0.759324470756234	0.724514100042703	0.668631018724349	0.698206932451267	0.720949485504523	0.738884224990068	0.750394448084921	0.666956975489483	0.579332497824451	0.79954703105486	0.678588716798679	0.690211902009078	0.736089059035189	0.792391945805271	0.766324190198456	0.752608459592174	0.678928333071428	0.714346413465086	0.7192705700044	0.735978517564922	0.769007596214001
TCGA-L5-A4OE-01	0.630269707319702	0.647246891536976	0.584498188035127	0.61882382687077	0.6161254960399	0.541063772993433	0.624442874593721	0.611643778220523	0.578631786064126	0.662340061855169	0.634727620652167	0.550772840450652	0.688685177451376	0.684001327405303	0.70939039535393	0.601679437449877	0.630302126438391	0.70155422316596	0.672717910308404	0.682929118303329	0.608675785205324	0.624614531307365	0.590496272788755	0.577309927151068	0.697860178948062
TCGA-L5-A4OG-01	0.665431985026889	0.672192276556828	0.602403972746643	0.633398335789664	0.632931227014208	0.577170746055816	0.633083234302636	0.633665029674108	0.6004386854066	0.681934188027741	0.6475753457398	0.566346101247414	0.71940370813861	0.670007320443251	0.737237944711012	0.62466589081062	0.646846238366369	0.701063133460975	0.693088871488469	0.684611111867351	0.651193552355871	0.645626756439095	0.616927918651931	0.601333162209631	0.69541877751841
TCGA-L5-A4OH-01	0.624970790079946	0.625016448814183	0.563765215255566	0.608887809074265	0.591685477107252	0.556884326351888	0.608049028617796	0.617518189406234	0.585866129541275	0.641802435886772	0.60048159590858	0.539846763181119	0.741876278881555	0.588641062865402	0.7157450566798	0.606271662616896	0.601154559490766	0.623278973664257	0.641891315598959	0.620344869389564	0.617997151904281	0.614037415081346	0.59458447083046	0.572634965003501	0.614490666131449
TCGA-L5-A4OI-01	0.602857970650529	0.583635414865163	0.521702925996644	0.579640433862935	0.544089505376292	0.532781729453167	0.571689442382188	0.552026483020666	0.530532549655884	0.604168733903808	0.559799486539454	0.517146550259104	0.718455813910557	0.546879299146916	0.683205939725661	0.576518628199476	0.556560342303257	0.58935377387248	0.600708085263475	0.586179027137569	0.569861828488718	0.581824408621659	0.550044425967423	0.540417320067814	0.579551947012207
TCGA-L5-A4OJ-01	0.579117235215981	0.577534815878691	0.5132797467197	0.572001563950069	0.538210753195172	0.512965874845687	0.574529026401655	0.589300385536141	0.535243192862842	0.606875571631728	0.549514825482304	0.510662032047757	0.723637258477571	0.537981873598967	0.695421945813968	0.565235842229047	0.565994319748606	0.583181129965748	0.59544753628141	0.592989701527002	0.59386257419413	0.588655045124975	0.558082175740899	0.527481451830451	0.579108042796546
TCGA-L5-A4OM-01	0.669534335633848	0.720015963629889	0.727264732714702	0.64074856451066	0.730216012549474	0.670263603165663	0.649890512612153	0.672496081385182	0.698356857748321	0.708503832946215	0.715731539332082	0.656525979013535	0.555409504151813	0.763325292646251	0.625855270181661	0.634390068209568	0.717006998110526	0.753499948267152	0.762632390043722	0.723009698255884	0.665334865430334	0.678614496230243	0.71602448728126	0.68528602148851	0.76517362030266
TCGA-L5-A4OO-01	0.693254830938499	0.685817915860417	0.638941706948346	0.651827361807452	0.660921755802968	0.6510657543044	0.674792258860241	0.683272025573846	0.662562649387889	0.703422611960849	0.671512943812426	0.611706701764036	0.743555119503259	0.670520692667376	0.75534128137045	0.675159947896145	0.68035120456051	0.694598607988962	0.718273333709112	0.693720464028869	0.690722778517688	0.689716982025385	0.679838413439537	0.664508589404718	0.697964257197259
TCGA-L5-A4OP-01	0.6158426803912	0.618768798658923	0.55806228824144	0.591964638254406	0.572884249645071	0.559897328431624	0.613281129994731	0.595012410025997	0.57234255687519	0.632641278367073	0.593603106046671	0.540098781307597	0.731111103353158	0.580036473752589	0.689257760736186	0.59751919889592	0.598700165337244	0.615276785537105	0.636979278810589	0.60830626607414	0.615300309202052	0.608245990312118	0.594166465924524	0.574431309900829	0.617695158476526
