TCGA_barcode	2313287	AGS	ECC10	ECC12	FU97	GCIY	GSS	GSU	HGC27	HS746T	HUG1N	HUTU80	IM95	KATOIII	KE39	KE97	LMSU	MKN1	MKN45	MKN7	MKN74	NCCSTCK140	NCIN87	NUGC2	NUGC3	NUGC4	OCUM1	RERFGC1B	SH10TC	SNU1	SNU16	SNU216	SNU5	SNU520	SNU601	SNU620	SNU668	SNU719	TGBC11TKB
TCGA-RD-A7C1-01	0.635295519580068	0.595058357041236	0.458795792147482	0.470439874199994	0.487292570223032	0.560800280528205	0.51223681129915	0.633554929309027	0.464624910291395	0.492172095251434	0.625295795984932	0.451096759634113	0.61358635158791	0.629876938934571	0.611071251488925	0.519958129654422	0.522932741053172	0.494346448650604	0.604497123261753	0.516346944910549	0.525168595117807	0.521757470773133	0.596023335266478	0.505601863467844	0.574422374030878	0.601225963422616	0.61374248388851	0.501949591380584	0.471854655247583	0.495423478041072	0.625167562920385	0.523146125308142	0.589737178588554	0.626023307927474	0.612521725123193	0.639925077671368	0.511324237986683	0.610815130452449	0.597298410734159
TCGA-RD-A8MV-01	0.68348932487722	0.641721032880213	0.49743505414822	0.475087264158397	0.541821571888122	0.576363803712447	0.524321353166235	0.717669885949422	0.463912328748521	0.511099195336223	0.73221389506789	0.473060849266641	0.682008217264629	0.689871953815987	0.666366004299617	0.517574999234395	0.534839003313465	0.563167649200173	0.687477205554892	0.587585594081505	0.560898272583052	0.555728652626134	0.676036000669252	0.606341323530061	0.618321357080605	0.696413499836182	0.703142165940095	0.560944274519512	0.516108873669956	0.505902161263173	0.715316074984111	0.588167676066135	0.670929153355847	0.684240441481835	0.716473615268379	0.723993725266134	0.579268258630104	0.652882306339126	0.658984401360737
TCGA-RD-A8MW-01	0.656842629435488	0.631906364967002	0.540659164803568	0.524886951166945	0.603013440827642	0.596327026643222	0.571980414600526	0.643120941652558	0.519979347091874	0.537430398842054	0.708702732076474	0.541423614230078	0.622358195937373	0.662944774978867	0.649819356315167	0.500356461952073	0.570677846355747	0.617560071645856	0.684036150520616	0.626355885375867	0.587895324539167	0.598931236106461	0.665620131614159	0.640908536377493	0.634478461540474	0.67714936172322	0.679609617585035	0.614315840924143	0.566813066863038	0.521426522901841	0.672923885112622	0.621523483756842	0.651398766880835	0.638599828823746	0.6857785583796	0.672651211448149	0.621501485157444	0.615199425018192	0.641080531173414
TCGA-RD-A8N1-01	0.68647965343908	0.65164621455636	0.551725538319865	0.535812948102526	0.577990611238541	0.593279922681915	0.57347108608771	0.699271752671088	0.517106827752897	0.53092410053644	0.749660966604532	0.522837402209584	0.653529363024336	0.67725002090344	0.681343891760384	0.533096862922189	0.546257775849654	0.59529834028926	0.699432791435668	0.594616284565408	0.590304557898009	0.584901281926996	0.707342816519867	0.62268492539303	0.62252997855643	0.699753718002415	0.686081580482211	0.601204107607338	0.531532832821371	0.536154455767906	0.713916670759038	0.615778018626659	0.659528907868795	0.693456261698105	0.721371691723174	0.729939909133039	0.612812434889381	0.662178625709301	0.670801431821937
TCGA-RD-A8N4-01	0.586489729974013	0.544502276629942	0.60146350717818	0.573962123701102	0.536149331049622	0.599460143906461	0.587347155478169	0.559585185042687	0.574925824941251	0.56973593835336	0.609528062017247	0.589072376156253	0.523294715035769	0.540991459608511	0.574875789051329	0.5062584865196	0.56091254914117	0.62394479717699	0.619301767689759	0.579933090861531	0.557073508566821	0.580377894902522	0.607163733408067	0.605859823725049	0.574328878883549	0.583291700176241	0.554959950255973	0.591028847135578	0.550218961424058	0.5265554628799	0.600669943789737	0.60721886118203	0.606600569035057	0.562041597970107	0.566051910263929	0.585557059775721	0.627084287362821	0.535403491370685	0.591901264159824
TCGA-RD-A8N5-01	0.671992661056582	0.634146408967568	0.50584659194351	0.476613303481779	0.511518251282643	0.554362552823674	0.54045518053124	0.69380565756946	0.46319488891592	0.540129155316627	0.712765878860757	0.478509233300639	0.640980890028803	0.682804261481637	0.661784524270994	0.496810987904997	0.557066551937929	0.559702444531988	0.670043298222307	0.576780214238253	0.555875523203464	0.55762671695112	0.663607432680589	0.596437439161085	0.61224884062975	0.669521932193676	0.693620445294131	0.553136984634083	0.524004378590822	0.504125116869647	0.701306737888791	0.578867080670695	0.651531980364935	0.649478019360558	0.693581733887365	0.708008377172029	0.576877631894264	0.639826049851622	0.648500853668455
TCGA-RD-A8N6-01	0.633816095478002	0.611459320125565	0.570685690067343	0.572781470192565	0.630271657213633	0.606460172975834	0.599857194177989	0.630679268264585	0.544556869329595	0.505814198556854	0.678377726371733	0.538065106942964	0.600629413219058	0.635542295031619	0.619208861793845	0.474333684286888	0.535571374927099	0.636012193887919	0.680576441757357	0.591086101881289	0.58769879741935	0.602456961703055	0.624754608240473	0.619559296101669	0.599060735595078	0.641680007235663	0.650845383976328	0.653523193424391	0.547085617821238	0.493546925000225	0.673585323390264	0.592078004876708	0.638455897116053	0.621088439594141	0.643152093790838	0.638836021173189	0.590800765914577	0.606590435879938	0.611408765957826
TCGA-RD-A8N9-01	0.680441015784021	0.66201415405605	0.567708899261194	0.538094600776717	0.567872310686531	0.624500014844433	0.592035021806155	0.697757456072549	0.537077061200985	0.563879422095353	0.739677216360892	0.545670630125268	0.653202457389788	0.681625582441974	0.669396264361616	0.539995519991756	0.586750284559712	0.629248443787334	0.707215912067563	0.624500692874846	0.597243815613643	0.608619670785327	0.680071122466643	0.642112754942921	0.651100595338092	0.683518634752175	0.701382337159651	0.618482530301535	0.564389482699738	0.535251304104193	0.705729924338333	0.63113149286902	0.685149821319732	0.681720952214958	0.710969727919767	0.718118114507935	0.639994055733787	0.644765300989896	0.675833481859421
TCGA-SW-A7EA-01	0.655563394605156	0.649101055814513	0.510866454963103	0.448376787569101	0.496962487610054	0.53884483317103	0.533629786003112	0.693318007813235	0.490109347492268	0.543776347233376	0.698920218979946	0.508929432611326	0.639916612866221	0.684432345840658	0.64436956403363	0.509907135904287	0.56869068202973	0.585880656788767	0.68247616763037	0.626397753731179	0.597028525981777	0.580526500000903	0.689065230195637	0.629840052271814	0.651466903840148	0.66246022282894	0.701098035907434	0.560778769146651	0.541370122700136	0.50970319793735	0.663192218837354	0.619314183050106	0.664749476023419	0.65816213399981	0.71383918789088	0.694815415204559	0.611242948530056	0.6269617753028	0.659438995520975
TCGA-SW-A7EB-01	0.607437249683338	0.58915445145666	0.482668585350907	0.483888152596568	0.60431960104125	0.532919012031013	0.508531333457355	0.619835670911059	0.446756654170278	0.43226354673595	0.66123067035752	0.464167007773045	0.586288570123123	0.618841038364914	0.598377548326444	0.420839023151841	0.463620883651033	0.537902694627274	0.627969424156021	0.537320378471537	0.516179093684099	0.53005940001785	0.590355737054247	0.537196432680901	0.552039063729758	0.617440577087901	0.629803571325464	0.594024455207963	0.480807285076759	0.440122432794224	0.6539547614981	0.523457001584172	0.595576582817453	0.596155772092613	0.634743259415264	0.629776868918184	0.513384734758218	0.573531001447161	0.564260047756904
TCGA-VQ-A8DT-01	0.666905204567773	0.631066440984862	0.485875326094799	0.481879599414688	0.523571566450504	0.558533757955976	0.508342470059478	0.717280842490735	0.460380489502529	0.519052724539094	0.739509375550255	0.481280523105212	0.664657388412765	0.690159716483792	0.649606402820477	0.508832398451474	0.526859525198269	0.570691428374713	0.68218642415902	0.573690833684478	0.542663388547351	0.563689454257182	0.678126873822666	0.602525055208835	0.607255773227053	0.692610119365235	0.685212233316105	0.56360562476662	0.49810417936349	0.48119524419253	0.698933892796192	0.568905237363631	0.66315300531845	0.683777452694827	0.703276025378346	0.723808002422456	0.573828431813209	0.641300367282552	0.651944126670582
TCGA-VQ-A8DU-01	0.636541010498986	0.613543874651684	0.494552347318073	0.509820775090743	0.559777363339331	0.597928038463587	0.552351464557551	0.628409177189209	0.488705993028068	0.494971209674589	0.665482942775675	0.477301486794162	0.604554841994711	0.637076703380973	0.630868083152654	0.489859893906278	0.532933786370074	0.567628623188183	0.647737367617333	0.566534947139048	0.544985795616239	0.575366148711994	0.636887959057042	0.581877004002102	0.583816059132635	0.629865954788994	0.645304375085368	0.602290476158048	0.493878909913938	0.468129666045059	0.653681581912474	0.578778871723788	0.609929559816758	0.598046663030102	0.648358854966056	0.638766859687409	0.544290310999416	0.600594653661469	0.600801726136288
TCGA-VQ-A8DV-01	0.566244752372627	0.572701906192283	0.505434046596093	0.565320416441715	0.666595321337976	0.564009121618049	0.531096034922294	0.564732678087955	0.478673959941124	0.466092238161838	0.606440224728777	0.495630465922674	0.526505154656482	0.560569390124671	0.586996883616969	0.425902104020697	0.489416946065972	0.530801987778599	0.597270821941754	0.543581333584179	0.50186902615157	0.529736667742563	0.55317146959697	0.541721391266612	0.540345754223572	0.585015273077189	0.603858516993054	0.586317755749982	0.488294052099376	0.460032232327442	0.599059878802288	0.531518644424033	0.580309119559273	0.548261587977127	0.583168527143206	0.584269895403954	0.539053081793731	0.54812097759682	0.529767882931734
TCGA-VQ-A8DZ-01	0.648830528810028	0.612703301768421	0.499591332015559	0.514092129322752	0.598635951344005	0.598652070804642	0.546629328647042	0.667624259105653	0.502133332326952	0.505260557443568	0.718487422552365	0.496685394299247	0.638859002883701	0.676335843615377	0.637262907916655	0.478296072968708	0.550095258668973	0.614922298839737	0.67749483910212	0.61530880279218	0.574094682975761	0.61718256983261	0.652604748455042	0.62680505477058	0.639299710405758	0.67402923167753	0.696191123480108	0.640396968395321	0.535509436318291	0.478560528851861	0.692703071217258	0.596978703422449	0.66315332026728	0.634554307546409	0.676979380341438	0.663014567912372	0.589769286589129	0.621720055745777	0.618611029640397
TCGA-VQ-A8E0-01	0.646435671190802	0.599859532101679	0.502605797062494	0.511823631967795	0.579951829858932	0.56739644997408	0.530693119530988	0.639804906477983	0.490262908827479	0.490360039251536	0.709677397105738	0.504446213452275	0.606642676985447	0.641574928740283	0.634998190647551	0.460518034065773	0.517670729104224	0.59024133867003	0.681199596516163	0.57465294386265	0.549171117858988	0.557750356446745	0.638334572177228	0.602978906497692	0.59452004176479	0.68504496848085	0.658913001563348	0.595574373087448	0.533735751469559	0.486253053907249	0.665503283828515	0.567033414327161	0.639345473912634	0.638660208774697	0.664887078369219	0.674230266039273	0.595510454654302	0.59510541176331	0.606277111875864
TCGA-VQ-A8E2-01	0.594190740777836	0.567690838000817	0.603374046261857	0.583841562869323	0.599333147985807	0.59305215351333	0.632832600233321	0.568708308752306	0.57375024223845	0.498678465196479	0.628920969955742	0.56880628115691	0.544025354490967	0.585769231318302	0.580682013411844	0.454007018355969	0.531246308103593	0.639534135405137	0.667220468902526	0.5838310684614	0.592643579007239	0.599302026120453	0.606778933210342	0.605835706124196	0.588569259425418	0.578122725106897	0.612607902538309	0.672934691011977	0.548763049126039	0.491896618296244	0.627231357517625	0.588923243184778	0.60284159957624	0.566841075070369	0.596007370581289	0.578032095652867	0.582869387122838	0.573033648955807	0.574151393959378
TCGA-VQ-A8E3-01	0.663656916415423	0.634261207324909	0.524329006549505	0.466927625540019	0.515853220765478	0.568340046012387	0.548450915888285	0.687271929011133	0.495087766237615	0.518668424425303	0.679251067799235	0.502710309937803	0.646697280100052	0.660794528310396	0.648370892722293	0.566126957257486	0.525446827134357	0.546050442042525	0.651017954058154	0.567374059840864	0.574799002059124	0.54675463061811	0.659652300692572	0.566395222321753	0.600958501173806	0.651590431482312	0.659653182089374	0.535582280277667	0.517649985678683	0.534458389241467	0.668623635993754	0.578157417823298	0.643385337329473	0.658905740101988	0.676465681428699	0.689012713302497	0.575933489946653	0.643429002582508	0.647870060848934
TCGA-VQ-A8E7-01	0.659197978165538	0.638552137402076	0.527496624684483	0.477315853268802	0.514298565799157	0.540586284548869	0.534340761735899	0.712065605499809	0.463127374986128	0.506952020624959	0.723909869881909	0.494426177404455	0.628101354215293	0.689530040231998	0.66861244216664	0.481318422905019	0.522264284296923	0.60011672494391	0.683551055651739	0.593318631916135	0.581803176863804	0.597053064721876	0.706955294138381	0.645941642103357	0.617985674221649	0.681108367407864	0.701924847871465	0.606579826626638	0.514376434410013	0.477921591468722	0.692681559736356	0.58878821645549	0.674073528414022	0.658976412817146	0.717719740224555	0.713077314686252	0.593048474455504	0.632448910644225	0.643884261536597
TCGA-VQ-A8P2-01	0.675795090286858	0.614345583403257	0.543979673831124	0.464253193031892	0.509700013314931	0.524302572063828	0.54424702310893	0.710726474489842	0.491575310275215	0.500388069645511	0.725620503963488	0.518056144954095	0.685797059470776	0.685273277777843	0.648605739402106	0.489558277204983	0.514440681642017	0.579926311974158	0.678686095794301	0.560531510518294	0.5660933633581	0.545507304280933	0.681150135372284	0.595727240519712	0.609485746011746	0.681815714882762	0.684700776359319	0.55689371865905	0.521430994417827	0.525522610358085	0.692626762583156	0.560722325776266	0.648397598588337	0.692513511939563	0.702446768870654	0.714742586036577	0.601212141940479	0.642552765694071	0.687235012166379
TCGA-VQ-A8P3-01	0.714564327922638	0.660927272235992	0.552081103520021	0.48172289083365	0.536770204538731	0.569258180941689	0.57688133002966	0.720374847986012	0.52663616822675	0.551577549128589	0.72131168520209	0.545722337810092	0.668179546018001	0.701503896028643	0.689034150576657	0.528539190241912	0.56393509081211	0.608261955794529	0.704660897906502	0.604688475330532	0.602799812912097	0.576129428846352	0.709423391504255	0.626233152561715	0.643583832348109	0.712351741812399	0.713140984971734	0.582573381348566	0.565084511199913	0.544998234342752	0.681559061384708	0.618262289022994	0.675438180409564	0.701956185048688	0.726456342192799	0.733287388950467	0.641060007591198	0.660048634867469	0.691948492816433
TCGA-VQ-A8P5-01	0.685961269449344	0.663104214342048	0.524260333435708	0.513950388735587	0.533651687053058	0.616427659543947	0.571710869442791	0.688332542851689	0.517106246356068	0.548878268628403	0.701990516158334	0.513355994706645	0.646001609521859	0.697685370952621	0.681197092102122	0.548478665794618	0.568520105097077	0.589359056782147	0.679478821806193	0.599314617043479	0.596845535526735	0.597996397484642	0.692803303672503	0.612863341889001	0.62971218378244	0.676162194254787	0.680635688634378	0.588039685932175	0.542797696596641	0.529079281754189	0.685941412966256	0.615033743077074	0.653670569875419	0.664492150380552	0.706118377717014	0.710658337957405	0.584384291044913	0.652590939764067	0.662677214106218
TCGA-VQ-A8PB-01	0.702911222741666	0.637655600151864	0.525248955989202	0.480673849466623	0.532806280573906	0.571758524167142	0.547224286598979	0.716850078095258	0.502940794700147	0.535493448580635	0.719700496492469	0.508529346501913	0.701135845556195	0.699645702406109	0.643997073946877	0.51384178647735	0.567961843001698	0.579656198910986	0.706248648486982	0.602974075005342	0.577851966224433	0.576826684482619	0.674217466137319	0.611633211705877	0.643672620166618	0.67969956514367	0.712735594904091	0.579035512430633	0.546150373191483	0.51846396865704	0.728320184169358	0.606448923771329	0.682133712964142	0.697379710569527	0.703956893581139	0.711746032549894	0.605023131000858	0.649667917848626	0.664476704695487
TCGA-VQ-A8PC-01	0.680338562745972	0.641556020417441	0.523318872006299	0.494771972249418	0.525573036823328	0.576278827317618	0.538779478931899	0.722190592815495	0.476711529081222	0.517064653869903	0.736598597298177	0.497721692609515	0.653458300909634	0.683183188265912	0.665834594407492	0.505588851498438	0.518295399873768	0.567916466924853	0.691911160326771	0.572692191265332	0.56113321368676	0.570018624007687	0.681582106178367	0.597058924210015	0.602033180476162	0.699381206531019	0.70248822807282	0.581330186676175	0.494887283202586	0.493106445736023	0.731600783642842	0.581548504201382	0.656400451184416	0.685884895528024	0.709674370687889	0.719783678097414	0.580278438510818	0.653619747298737	0.659866971309752
TCGA-VQ-A8PD-01	0.712058673968865	0.678835595255792	0.542072008088835	0.50506683061135	0.55326774639532	0.594643465087691	0.559803378591007	0.757912701995915	0.49739177257786	0.55114138047981	0.760867975930489	0.52175645984821	0.698231911554207	0.718465961826659	0.713091037068435	0.554397463025376	0.560016769546521	0.582709306684791	0.716463051917718	0.597122021604194	0.591193908525394	0.581178611486701	0.726755471356136	0.618430115335168	0.635903284406324	0.729600592766859	0.731959265157341	0.587348829127928	0.544712037769273	0.540764637618257	0.740066140857886	0.609964836838086	0.690294356031202	0.73170779116588	0.753456400504646	0.774086857403956	0.611332650760728	0.693748144451129	0.69704811267032
TCGA-VQ-A8PE-01	0.650171361610003	0.632621804211798	0.525577803529202	0.53298887557967	0.630221525929115	0.595189111243337	0.558501578347325	0.661790673545233	0.495349839737318	0.508829298269059	0.714066609013206	0.511681397220486	0.62002118446232	0.643295207937392	0.644685312150542	0.486653502683013	0.535503389340132	0.581728923195298	0.681470611138839	0.604301842198237	0.569858086105243	0.583160479112763	0.647720306476629	0.610287204031691	0.610251572365583	0.664597371349895	0.691039174100113	0.634998653623791	0.524061774905215	0.487536608630171	0.699126361029282	0.588399492744148	0.662428168138227	0.63830373074018	0.683941951947063	0.673098842227433	0.59101216921366	0.625031418271844	0.618502005267215
TCGA-VQ-A8PF-01	0.671311487527288	0.677229480226764	0.525623527862497	0.509739639908465	0.570367770570568	0.60103587466946	0.564479706988893	0.699015028720795	0.507779824266386	0.560131416141668	0.715202535440337	0.525378520563774	0.656341024454843	0.67360978267975	0.698888958146258	0.565064340475296	0.56831477382415	0.570182892638081	0.700264180618745	0.587557425857952	0.577718056213288	0.571433968962805	0.687342535577353	0.610411424265531	0.623595836355111	0.6928900967019	0.687438083833174	0.57690787503801	0.553017842984848	0.54288429116482	0.69415901337311	0.598850581436975	0.680122401685897	0.697176329019174	0.719704929276246	0.744498998472557	0.600325622562511	0.685615149934941	0.653565658386676
TCGA-VQ-A8PH-01	0.647270297064577	0.608380371645358	0.539762789128432	0.529663526310273	0.616309759280295	0.590075546209421	0.554511259459601	0.64627380423763	0.502799778043614	0.484297253982666	0.682511907166973	0.50648291989495	0.629059038735774	0.635706626316923	0.62895662834288	0.481228763874318	0.527616923955018	0.575226274958734	0.65832697182275	0.56920626859449	0.551965592186345	0.558894789209885	0.621862699128476	0.570179580249939	0.597806384292776	0.637007514467278	0.662349256112629	0.606066627126314	0.525944339073477	0.504619368864173	0.694368376773964	0.564355384813572	0.628214431527355	0.631857658451496	0.653028436138028	0.657365346481559	0.579835583058847	0.619511710945389	0.607299198037017
TCGA-VQ-A8PJ-01	0.666934769944249	0.623424706237616	0.476661969445732	0.501037280017603	0.581690570002751	0.588826554521324	0.523243228850518	0.673020497877583	0.473626971547648	0.500764978300865	0.714676653769383	0.467824329884473	0.652813358529772	0.698004003388452	0.637774402093743	0.477042106832587	0.541398434340557	0.593741723524925	0.674345207921441	0.583692481030589	0.545111695279638	0.594404558620767	0.656985523865848	0.597170301983051	0.604591919778897	0.694866934150652	0.693039812087323	0.604410498495453	0.517404014036731	0.466442918792416	0.694598350426668	0.568861420719297	0.637484524290184	0.648856494426838	0.693782574484661	0.693343672736855	0.5611378438612	0.627858331700432	0.62808390913877
TCGA-VQ-A8PK-01	0.661146500869725	0.612731469733571	0.503372535239231	0.505637039968104	0.546154244322798	0.593590748767965	0.555807635873533	0.64328356287255	0.493553249612437	0.538198404318113	0.706425656140251	0.500870829155188	0.626656555222976	0.660361780198072	0.634376555543504	0.479636156606776	0.556552315893841	0.608801770865017	0.701870245254478	0.604021810898727	0.579823168804201	0.605796026143455	0.686854650395533	0.641203029010129	0.616917856693509	0.691228351174265	0.670827024557359	0.618264746626153	0.534924298329776	0.487624622751399	0.665545804630903	0.599475062978493	0.645491698825863	0.640555115124204	0.679565811664851	0.67732806633931	0.593442978531209	0.607291806711431	0.640596168482172
TCGA-VQ-A8PM-01	0.66480228753557	0.605899010018301	0.480046626193294	0.528431535866992	0.560881057896551	0.610474031576787	0.535058446296286	0.668103568595284	0.475462702955149	0.503141628073429	0.687201811366179	0.485657424701722	0.640643114454902	0.660636022960218	0.635935890777551	0.492627061684098	0.533494422394614	0.561490401563805	0.659046129352332	0.558502941631129	0.531113244636989	0.553252593040457	0.62958777297252	0.562797840292548	0.591088284238273	0.690506293585723	0.656608392700868	0.571847012600052	0.507027244960547	0.480527106145051	0.694653995217644	0.567940718666036	0.636871040082962	0.652773338313566	0.661129979573396	0.675225549336189	0.54765420109572	0.624354210811635	0.617060647403668
TCGA-VQ-A8PO-01	0.64363995392302	0.607992960263279	0.487464190975871	0.44487236262041	0.498497607553382	0.528907192589372	0.506613790420291	0.703250910767635	0.461268051589166	0.507267514382406	0.697093795148018	0.48537508585177	0.648274147533039	0.6588506484206	0.630194047208233	0.518794200372393	0.526326028817694	0.545355127662667	0.645550465760076	0.562417783167531	0.542161261142878	0.535691667960609	0.650113864931549	0.573203962763204	0.603165293129718	0.65919461670707	0.674925394663175	0.529324974621935	0.498464566040218	0.487309336768336	0.686731936018908	0.557404593255288	0.654846586974727	0.667629176852994	0.678854795934872	0.688849525745803	0.574135979238929	0.630544298033006	0.640612771414673
