TCGA_barcode	AU565	BT20	BT474	BT483	BT549	CAL120	CAL148	CAL51	CAL851	CAMA1	DU4475	EFM19	EFM192A	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1500	HCC1569	HCC1599	HCC1806	HCC1937	HCC1954	HCC202	HCC2157	HCC2218	HCC38	HCC70	HDQP1	HMC18	HS281T	HS343T	HS578T	HS606T	HS739T	HS742T	JIMT1	KPL1	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	T47D	UACC812	UACC893	ZR751	ZR7530
TCGA-GM-A2D9-01	0.600592258709071	0.592920940160596	0.690152576377252	0.72977429516185	0.564466534204864	0.573069263482935	0.665145844968062	0.593904466868881	0.578853981531737	0.691362190993351	0.530793299300263	0.67927161141525	0.703375718409477	0.616590575013008	0.59122236752863	0.592814216827949	0.672565925875827	0.660443655267096	0.694491346535709	0.586480594287633	0.592600398740389	0.591635926684141	0.604537163805202	0.635728067703213	0.662846769839981	0.59041615281803	0.693471172778559	0.630809350237774	0.614112346387436	0.598515583766816	0.544910877106298	0.603533611301672	0.592226057310149	0.570382129673763	0.597820411916382	0.613457904921377	0.579635526097166	0.589292937746042	0.68418472235871	0.675173865927769	0.655118595797789	0.573261328148041	0.690623958750272	0.60113875186246	0.694699040273734	0.693624185336774	0.577801298606931	0.652557591166695	0.6193251383732	0.629416061281799	0.680236606764026	0.697314043311109	0.629438167185882	0.711549245644757	0.715239229788252
TCGA-GM-A2DA-01	0.604532407503413	0.590914891420235	0.693332899394617	0.709662489433623	0.583640230296947	0.596034725761873	0.647949821196685	0.607029461756332	0.587019732000618	0.681952287474303	0.535615689944536	0.678098871550134	0.685204657245889	0.606756562553415	0.597303678494582	0.604750667119058	0.680913094634596	0.674842667296182	0.714726232157429	0.586222530925565	0.591918399311571	0.588211264996775	0.587965516290814	0.627414046014038	0.661120070863472	0.585974671074506	0.672924050596148	0.626425202979064	0.611129900935519	0.598773895593419	0.576455540419967	0.621164739215194	0.614341305530226	0.602944540586284	0.61001796971716	0.630091215504003	0.596752522994213	0.589490525130173	0.683501277730381	0.677788737306179	0.654136154409024	0.590883900524173	0.6634146586682	0.610012445257869	0.705782046813833	0.696782986986352	0.582664567975281	0.645984699626142	0.605516753029646	0.624048436435004	0.675733929645512	0.688789599004255	0.620766670305371	0.695761612861923	0.707192076199511
TCGA-GM-A2DB-01	0.675421129457411	0.660948973708831	0.699793767139856	0.710633037244633	0.570769356206732	0.575285938578788	0.706714152537084	0.585228168310585	0.636714335008554	0.679306581913511	0.547922710620738	0.674229618510627	0.726064012825909	0.642365294278184	0.629399947031116	0.624744699992588	0.671914580718229	0.679549037731376	0.657582757625662	0.616072349963343	0.633856368379474	0.62539118086462	0.666762857303278	0.701808859493743	0.716340957108006	0.640147154414073	0.696272332716003	0.651804568022447	0.674872000681025	0.625166811161249	0.554723443217567	0.563037014231311	0.562236501213905	0.562935094449853	0.560256262666974	0.566524610341838	0.547476247979149	0.626234065230409	0.69187593895225	0.679534762067514	0.610669003845973	0.580022031148606	0.684874414740996	0.606098463489702	0.725157572837127	0.698045162979775	0.60085936353107	0.658263549856941	0.68123824529597	0.677499189881478	0.686536293945448	0.682241456274899	0.694150543979581	0.710488539005824	0.715377878600463
TCGA-GM-A2DC-01	0.567928105255671	0.568379240040689	0.646337593506498	0.71760767280961	0.53778748424436	0.561905372763359	0.645685964632421	0.557197965758807	0.53735365826371	0.671038825060041	0.530278962540678	0.646898257889111	0.650574198964555	0.569456571261219	0.565493854895717	0.57101891576261	0.64014488681085	0.659609987491172	0.680003992886734	0.569105315703678	0.559431596195113	0.536742399215645	0.563814128018434	0.585384571817953	0.620540519352558	0.563303654803932	0.64932911904877	0.595118489932581	0.567739479463622	0.550556432038432	0.547995062693076	0.568409464505546	0.563634688428291	0.546890451996999	0.567934566881171	0.586198286670453	0.557345847276049	0.561613352627251	0.658101619479242	0.661458908384617	0.671035681584873	0.550486299927223	0.650537463755867	0.564013236090733	0.632323532852114	0.628755472066562	0.555333320079014	0.615284075556245	0.557558097717888	0.595744867821117	0.647811434764568	0.673283898643532	0.585444301178332	0.674810967897108	0.666626934524211
TCGA-GM-A2DD-01	0.659479082253387	0.652077983242828	0.69714076856132	0.714299694827672	0.600432904928097	0.606552531879712	0.679566667484558	0.61051497986688	0.631014433320895	0.697978622408744	0.548491495678148	0.684806686284503	0.704887612103233	0.640904419542738	0.630030013019359	0.642208712353294	0.68305526195525	0.68603245650082	0.699256116026124	0.63017284114223	0.62536278316527	0.609247438289621	0.646997504875057	0.691285077980349	0.708994345962101	0.623975236787295	0.702349802176528	0.647068681535493	0.666715436182335	0.630477492359545	0.577985172979835	0.620121859905719	0.617256681809026	0.61051037701572	0.617120212894787	0.631163887969563	0.606084340968435	0.640187171764026	0.693705246203438	0.689303992029042	0.641379971650695	0.605550407345052	0.688309647333877	0.632406717677815	0.714982548796999	0.687751589887819	0.613471407444989	0.669139144446703	0.664571070699395	0.673911685961978	0.688366389156105	0.681123910677424	0.67251285679907	0.71184508712425	0.714997530248325
TCGA-GM-A2DF-01	0.652914867069214	0.670841241906237	0.654586533254154	0.711404446139728	0.63725766968286	0.641043892534168	0.668560621457027	0.642648797381314	0.676975873584411	0.681848581018218	0.574772211102567	0.694531271503085	0.722945496591763	0.718173657965824	0.675564152310625	0.693301695243194	0.634412589097472	0.682576247334905	0.648401376480819	0.725974897964467	0.710444064136186	0.65474851233385	0.716269339124502	0.689333600397214	0.658484242506632	0.72678855010805	0.676929903067977	0.719376424145196	0.689439403962934	0.687074489263348	0.624384329991048	0.629261883828744	0.63259489653032	0.632523552307492	0.624352867542273	0.63818115130978	0.611595204638115	0.683475572808965	0.69913201012907	0.694782947712888	0.619474929671325	0.647407608625196	0.688207192013947	0.651698802921346	0.689591937049033	0.650513588129675	0.665774824190792	0.632611298340274	0.709725430850132	0.675894544221975	0.679635291823121	0.695445414713128	0.65306765980231	0.692644047862441	0.68405373976823
TCGA-GM-A2DH-01	0.627602943675393	0.629909151155629	0.739322274748384	0.765737840380565	0.625273256160982	0.630319321743657	0.755533015889427	0.636443634817961	0.623007664633773	0.737787768035544	0.587267724105893	0.710836886840707	0.725935851305172	0.667847475600846	0.66060287260349	0.636041511243726	0.70297271084607	0.712833119377466	0.733818049095049	0.63224248490409	0.652895058717299	0.608354000234037	0.647195928522262	0.680698382078686	0.706379708225276	0.644806542921637	0.707513931669096	0.684160567341486	0.647672907315406	0.631334401638778	0.585723838599821	0.599142905327035	0.593521129994262	0.583968011109787	0.590487199531312	0.605801749021504	0.565258349850233	0.636870018547423	0.716451014902548	0.706214142315176	0.702382647161255	0.610558789623642	0.703773638359048	0.628625593804759	0.717106089987645	0.690328745672251	0.625236588816536	0.690806913198523	0.671655401799274	0.655101758186355	0.713540060991286	0.705070093918337	0.65979787846287	0.730722161498329	0.725415645008319
TCGA-GM-A2DI-01	0.615203902764671	0.608539023654164	0.714680523494729	0.770783426257644	0.610899314092934	0.6314540114067	0.685097148774568	0.62518618718765	0.613844586333491	0.728590800720863	0.561292051308927	0.718945050860408	0.71766951171559	0.645825445569671	0.622717337071589	0.630108777494683	0.698661317801271	0.707412570619563	0.749534194304226	0.613702289629631	0.619185926425664	0.60697752335777	0.623579809732865	0.646757236984196	0.667583791304894	0.615909861209065	0.694918716291963	0.666976719090538	0.629952099840192	0.626486654094583	0.58914578976993	0.626892023547806	0.619268618331165	0.599905657520732	0.623820818260748	0.635650278805699	0.606598518254127	0.627786374765641	0.724447122658855	0.727651028036066	0.712270753279173	0.607072685259059	0.70534747988567	0.62867131181706	0.710834729966934	0.693269206609542	0.619092293530476	0.665039345845748	0.637327729428921	0.646530302072796	0.720002372825398	0.717203805523604	0.636400970658902	0.730336991817749	0.71630012255866
TCGA-GM-A2DK-01	0.589270958329562	0.582587802308388	0.669558315004776	0.731403631583689	0.581541476532304	0.602703743105233	0.634105591019099	0.594942264045988	0.590477699691231	0.67342203821815	0.52929195443867	0.678333861403517	0.679123132382611	0.609455630508992	0.588872798437741	0.593173626197872	0.643714698815072	0.673263377521852	0.700266500473994	0.587017780185165	0.583612020290261	0.588302709344349	0.60124697990731	0.611758397696754	0.613965301175524	0.5835402570524	0.645718573783125	0.628768779676169	0.591365253746658	0.596690666151008	0.553358610844185	0.601282094449682	0.600641891444347	0.575597194536339	0.605067564643185	0.613533208943063	0.597664306138378	0.608869115165175	0.685424766685827	0.694783930997753	0.666390445854132	0.586357336295319	0.678230639352559	0.60699618976606	0.676227785369405	0.655838873283338	0.593090534464182	0.606177703432886	0.604558660494554	0.617080623172061	0.662826273914615	0.697080448153527	0.597953320054642	0.680265124004179	0.661585210808539
TCGA-GM-A2DL-01	0.605243524797351	0.598929008184623	0.699456281923899	0.710078148008628	0.612199448882202	0.62433616433074	0.662100516388599	0.622290297989676	0.609729601667246	0.692320710271675	0.543793011922421	0.678814090195649	0.703898491828925	0.629681398661459	0.608332849072306	0.628327004437344	0.676272008576586	0.66822122312289	0.697196107882729	0.595947915659924	0.599691041918923	0.598218553954083	0.614620796789322	0.645332974111551	0.662729036581595	0.593811253069	0.684976257075544	0.649594366648763	0.632596641263305	0.618693379157522	0.578163178235228	0.657172667929954	0.650203101596319	0.620607191063795	0.64931326497951	0.665271244644036	0.633030290098004	0.617992637699947	0.68884129883583	0.683457383151288	0.640190352671113	0.606420426987602	0.682789153976796	0.641721837009165	0.701719509416688	0.677420557916082	0.623114349620871	0.650485342139161	0.633651175033604	0.634663149816797	0.682480540016566	0.678606381805545	0.628373178310377	0.704341802036632	0.713864002722777
TCGA-GM-A2DM-01	0.55839826110968	0.558602605491769	0.633505501756418	0.671124452878023	0.56745483921573	0.597066604476885	0.616590714323483	0.569223998658947	0.591445611741092	0.647705332158928	0.511208157365573	0.618847348375226	0.641043267462752	0.600940935757727	0.570140225316603	0.585565603113425	0.619142804663805	0.615521269440674	0.66373377740519	0.556960751459713	0.55876757140513	0.553225091140533	0.573995576153548	0.616231887998803	0.613064073442582	0.551931529657586	0.633065611167441	0.611057225288742	0.601532326127337	0.584354666742643	0.559214152311506	0.606549612598547	0.598848232474082	0.570349839795627	0.608075967862673	0.617812644657814	0.599711485428223	0.568506816345838	0.65116572255746	0.654601531275022	0.613417213524755	0.543462343251929	0.635872061301086	0.608891751564648	0.638564319393484	0.639319167147638	0.580658198749652	0.606261573195487	0.587600331168782	0.588689537189578	0.639291721015223	0.626738032320656	0.581788992467386	0.660129326502869	0.653633415521032
TCGA-GM-A2DN-01	0.609608403871823	0.590142807536431	0.701845921923018	0.731337126288513	0.583773067581575	0.603023461920149	0.693074015912021	0.608394267225702	0.616556076230123	0.702526971534438	0.551340491361917	0.679274141072436	0.703145790595159	0.651807335112498	0.623417102207152	0.617353045187152	0.678271844846649	0.659153142929833	0.713517857360772	0.611895210298123	0.622896273140662	0.603389920243474	0.628531668647901	0.663063498556339	0.67549106933507	0.622173096220998	0.701210622535703	0.655960723219911	0.648255232657953	0.61662539863076	0.565965577803011	0.602499994726631	0.593212138134613	0.57611086280913	0.59949783596994	0.615049340210398	0.583211622348068	0.603408272134575	0.68909411953935	0.681686048183134	0.66465478247036	0.576593394332477	0.702108208042571	0.617665973068435	0.695288580095275	0.706968566617382	0.595202571772988	0.658151785929149	0.650926385124805	0.636917955798467	0.689055293368726	0.691805542549665	0.634846880310656	0.713647391496567	0.727947662062384
TCGA-GM-A2DO-01	0.607999653709512	0.60509902959126	0.700008132077627	0.73229181679182	0.575745388381911	0.600371291569048	0.661564725295047	0.61311776524359	0.576679026171641	0.722958981247145	0.565630042008133	0.698930483975192	0.70452366595882	0.6184672656795	0.578257738612417	0.601505001412522	0.694643217307235	0.690512815479738	0.735651100361509	0.593369197356789	0.59897913354699	0.574708636140231	0.595369830599317	0.619068911685781	0.664658099932358	0.600127569887507	0.682539708119388	0.60760735132882	0.596785588305134	0.601815324515435	0.587813277964712	0.578540285516916	0.568778757455838	0.566869828043086	0.570388582533809	0.5868224191893	0.547259598956144	0.592770162602019	0.708110616058044	0.709766783963726	0.730423298934332	0.587198083938792	0.684408577058391	0.612936689889542	0.678498714782455	0.678395958108791	0.575164379743938	0.681674929660333	0.600268048768146	0.641337330000245	0.698387578379484	0.705725969083799	0.620598258265139	0.710000289083079	0.709324649694223
TCGA-GM-A3NW-01	0.593519105664029	0.575468005956793	0.68086116769804	0.704670638555913	0.560343600596984	0.582761498486256	0.652630306859188	0.600723885666593	0.568465605628003	0.69559893851021	0.525330297736536	0.66398270252057	0.679380079038482	0.603282648273649	0.591760567203907	0.578686015355547	0.662816572310203	0.655514954774501	0.711399883127978	0.576190386733296	0.584729736737035	0.564007932538223	0.582121600299725	0.612562019137326	0.642721884637059	0.590498141125595	0.670637496652818	0.616928387753202	0.589505292490482	0.5835111754968	0.544024862933515	0.583116195980015	0.572417961984814	0.567794421305731	0.582423289182554	0.595917503826389	0.567844804874189	0.575365381705042	0.668017047280151	0.668467679517512	0.673735371176614	0.569766685696928	0.674033086645742	0.590992520185566	0.663981923343989	0.670242617851482	0.560930331331903	0.640984308323848	0.601208339878717	0.623877732196731	0.663478887043888	0.673046838912213	0.617068753197844	0.682918407476521	0.693919515327065
TCGA-GM-A3NY-01	0.577627290671894	0.578330687757811	0.665339878735818	0.70620232405073	0.554750411628908	0.572098374044429	0.657613266586528	0.588659829425681	0.584207259676448	0.668466975830133	0.519420339005755	0.662598742959395	0.680561363047959	0.604265738168703	0.584517290380677	0.581498502699955	0.65052076207981	0.642193379581653	0.691296102347153	0.580415773088901	0.586401799091733	0.58357231817575	0.603629061489151	0.617559225912309	0.648213073256593	0.591281271494824	0.661603754290476	0.622277186831558	0.609081253483051	0.597228388437425	0.534748329138611	0.591366116751739	0.581722947224457	0.562952372817693	0.594043272120262	0.607677979720784	0.573383523058376	0.577340632810708	0.662596706910802	0.656331210048247	0.63230348352499	0.557897796403717	0.671942721612095	0.596665351482274	0.664208406707696	0.678508688056786	0.554561839294928	0.630431742754377	0.609588922180742	0.608605787204723	0.670340390273634	0.689950426977354	0.607424711010003	0.687629367476064	0.687469096938095
TCGA-GM-A3XL-01	0.664805174346298	0.668369208856502	0.657805798809609	0.694402032327879	0.632737054780437	0.629421253144527	0.669168265204427	0.625642224238774	0.7021972783187	0.675913215879317	0.561030195342612	0.671412705167025	0.706668566146934	0.727341325562784	0.707892581106066	0.69679372460617	0.621736647200649	0.662067910976878	0.646399512988042	0.71263215199475	0.719798115483689	0.663148900308516	0.719991863712662	0.712217880785446	0.672746423812062	0.706256095438139	0.681018610239952	0.728543134772238	0.717434768731777	0.694252939837577	0.609609089581246	0.601301476065705	0.607596564846766	0.600443910897906	0.607198021035917	0.613774426352388	0.584726661783545	0.667597163302509	0.679476243690935	0.675892825222714	0.600096777139655	0.621871237104494	0.684322503668427	0.65035231803329	0.678421305326586	0.666982585302862	0.660593847218051	0.632923405088368	0.725059971149115	0.680585324718953	0.6656745140648	0.674121750103198	0.64895382335296	0.689964581950665	0.670109005573985
TCGA-GM-A3XN-01	0.584901802253584	0.593370682598183	0.674307280913499	0.736042657148941	0.592624277589648	0.604515808206266	0.671939529836225	0.620370450737788	0.592884243812238	0.699482125357904	0.553069181117902	0.69287138071663	0.68778026599112	0.628512424031102	0.615449315930716	0.621644439557181	0.654125743979205	0.677881156972032	0.71239999557654	0.603926496591055	0.607787048142557	0.596434026421697	0.614404550956158	0.625962642106829	0.64942702541055	0.605319289751286	0.665982894557259	0.651983133089229	0.618176097484714	0.611201287449686	0.578769088072826	0.627654773462041	0.62260546016209	0.596483528360632	0.630625428399521	0.644643713076806	0.611749401779775	0.601176711401078	0.692212790387802	0.686647879029083	0.68493078619641	0.601006711149637	0.680744072738267	0.624441337333613	0.677620038014532	0.669121518799092	0.597168969534436	0.644693429714506	0.612597129388852	0.617825732228243	0.700423495356901	0.695109681274302	0.60475396852577	0.701959980880985	0.694006447678641
TCGA-GM-A4E0-01	0.5830754467524	0.569602550939077	0.657437842328047	0.701816108924285	0.558858113128119	0.581374771742747	0.637603246837468	0.595486131021631	0.560372696692579	0.669428654691875	0.524497467125012	0.668522525463147	0.673523601050995	0.598226980207044	0.589048450709367	0.577017871721355	0.645434494313196	0.648025448854954	0.683118518618573	0.57630917677379	0.581901460718886	0.562817166895772	0.588880892685258	0.60213887397024	0.625071403590615	0.589765229047108	0.652350015789331	0.606409448764661	0.58319114073197	0.585090193854165	0.544262877158961	0.595376320713994	0.590668942878421	0.567747836316879	0.600354935824578	0.61081363190665	0.585153839190186	0.573383761018859	0.657459704433234	0.657963494433972	0.658366303900102	0.562284606021399	0.673499209995908	0.598912520599439	0.655536941670469	0.662661861174075	0.567193621563825	0.617764870237589	0.595750783674703	0.607043434212483	0.667743887602305	0.685958885211313	0.592462989901479	0.67850444139467	0.681140634252623
TCGA-GM-A5PV-01	0.586854325359708	0.552838494036254	0.66862443717037	0.695543652704359	0.534049360374596	0.564416385368586	0.639234955754749	0.564646514110966	0.581985612488259	0.662131740135558	0.492677691734993	0.649378416662118	0.664491435182639	0.597370395758849	0.587174323432012	0.555427939069248	0.646987387434874	0.640614198551156	0.69156271815542	0.561861259002331	0.57323984550603	0.563072135133946	0.584308981206018	0.611934128217036	0.630536772660065	0.579439842810149	0.655672766822096	0.613394267700642	0.601872319764398	0.58058310365461	0.505022365256241	0.548717076690354	0.542884665166333	0.525335713656175	0.552594795220615	0.561782845516389	0.543032028311641	0.565279081818407	0.641272655457393	0.646825656634087	0.631145462108495	0.524616220645261	0.661545806078976	0.573394377156396	0.655931675955971	0.672956632816888	0.541371282382412	0.613295927533336	0.608594191735675	0.608571182178397	0.659883866636573	0.65869544897773	0.599262535916415	0.670029949142479	0.676649391171721
