TCGA_barcode	A253	BHY	BICR16	BICR18	BICR22	BICR31	BICR56	BICR6	CAL27	CAL33	FADU	HS840T	HSC2	HSC3	HSC4	PECAPJ15	PECAPJ49	SCC15	SCC25	SCC4	SCC9	SNU1041	SNU1066	SNU1076	SNU1214	SNU899	YD10B	YD15	YD38	YD8
TCGA-BA-5556-01	0.715616485868132	0.685526492455789	0.738950837232414	0.630701897047559	0.745166304045846	0.740335688418872	0.739791604217877	0.741847180962613	0.74577292400844	0.709135527885094	0.650888973015306	0.490996184551229	0.689501332012113	0.659927820633141	0.697100265194357	0.709501741511904	0.712677819816486	0.751117819827065	0.732136953280193	0.72424747098997	0.696753543053855	0.714625133988113	0.66084624489094	0.673831128799392	0.747620357109157	0.712191489707068	0.669947876743059	0.622735423172168	0.648191111213489	0.602559116352971
TCGA-BA-5557-01	0.678898883667122	0.6230385829516	0.738467251112456	0.61217736081529	0.691971733845576	0.705663005953669	0.705121016017475	0.701647126134744	0.664967926724728	0.640136237453114	0.599150575266517	0.513586371995122	0.635483459793195	0.609477427430671	0.638287108145979	0.653150301481851	0.682163405871974	0.727840746131494	0.702795986412134	0.684824318863936	0.67680944712761	0.675201387094869	0.612577344573669	0.606333570706007	0.725309700911046	0.651320298248794	0.627733180025464	0.574579028863271	0.602260052801199	0.56876622313173
TCGA-BA-5558-01	0.67979682374273	0.672964003902907	0.71495260052522	0.606271452739302	0.710452320952984	0.715896297628151	0.72145141740247	0.70803758399613	0.702716894880109	0.672193662380422	0.628756696075911	0.499538246218097	0.65514826708952	0.631466122362718	0.656618819481357	0.676869455614622	0.68633737540072	0.718133038284951	0.705069200031058	0.690403109142789	0.70052353149464	0.673994742196125	0.631760097521749	0.62940234037698	0.744033240847138	0.655155425005711	0.647217979637404	0.602170487396283	0.633111171731616	0.574483462312106
TCGA-BA-5559-01	0.617797056576924	0.583881729894593	0.624780569878391	0.626719311987113	0.597631345369008	0.645557430902414	0.587002828730431	0.634495738743884	0.643149377475914	0.637520907682359	0.629960779709271	0.531815160404144	0.607648487079931	0.57053004688253	0.635992259390186	0.649819568172697	0.631387740218654	0.637643192731043	0.606342971283659	0.63209335938391	0.529460641276766	0.633240757375681	0.626626524360594	0.626239483922751	0.577214321120049	0.629349624506899	0.571804742543339	0.57100857370189	0.567642414561446	0.588467322180891
TCGA-BA-6868-01	0.752095540404288	0.690156261749426	0.793304632910804	0.702825236221599	0.697753230633881	0.789577710994526	0.717507891364903	0.737272827041601	0.712983442946898	0.681539311288119	0.671201432215658	0.548266221705294	0.693390146382938	0.669291771082202	0.696598755885933	0.722706013536945	0.765313413652476	0.777269338907009	0.791555209399632	0.752567951992331	0.686399609758695	0.72665406593562	0.688398216410021	0.672123940461275	0.734535312895898	0.681208005472254	0.688232947371897	0.631163852465153	0.653970895009281	0.656932288357173
TCGA-BA-6869-01	0.633793558432838	0.615477341424257	0.656982025718576	0.589137640784351	0.690286515423859	0.685517447975965	0.655013708648946	0.731887200323413	0.662269096988297	0.664930728464998	0.602335395726818	0.464625070598679	0.612893373550573	0.569414429878101	0.624981620477468	0.649944543370835	0.628834576619299	0.676188612531218	0.635694315687309	0.668247189668363	0.604455928747641	0.666823510783947	0.610718697487831	0.617063613910843	0.640020820836022	0.689157559129306	0.583309958259158	0.562003332440898	0.587636391400521	0.53554721798439
TCGA-BA-6870-01	0.703256299995336	0.668723246243839	0.730687235247795	0.66061290419617	0.703233048681604	0.733802218568741	0.701357578623125	0.720668852003918	0.715502711419686	0.692927186571619	0.66030599621104	0.502710974937416	0.681168320105907	0.629909206888595	0.688227458738065	0.687553924966236	0.702505193970132	0.735432383922109	0.73018067077518	0.708750701646902	0.663348193184055	0.709830806246826	0.652717846764838	0.65823165091462	0.717035880320829	0.699355820210547	0.668115071273883	0.613786010805113	0.634984182520595	0.596274083032533
TCGA-BA-6871-01	0.637952660304019	0.604142413792205	0.671043582904914	0.670184120893502	0.611593172789039	0.677503312258896	0.612713261232039	0.640155101773415	0.667472231995107	0.623154397157211	0.640832337074036	0.573490786915337	0.644712936887256	0.594276331679985	0.652518048425264	0.644292642976744	0.674143720738628	0.671560700743242	0.671037322671261	0.66886841156437	0.562274296176301	0.64337468793707	0.631134063091798	0.61690922352684	0.612897870283394	0.64679028033926	0.605311847934599	0.598434045038936	0.606282636545123	0.59031578486466
TCGA-BA-6872-01	0.717270456259938	0.669146343885857	0.741335509851718	0.639632224044936	0.705653821579505	0.726526947233623	0.707188563541559	0.713619080924965	0.70712615813513	0.671763444537256	0.633639061841637	0.533989613638217	0.683357265671862	0.655362879049302	0.671935035436106	0.691439449092073	0.722773500517885	0.758474219729783	0.74737648470503	0.721016960529471	0.670946240510365	0.686324861636537	0.625108265564672	0.638892514593263	0.722236081571788	0.672482858724855	0.675371591858201	0.622256132871053	0.631485740127194	0.614793301477467
TCGA-BA-6873-01	0.721581858167056	0.696579316412183	0.746711895558979	0.648709237691271	0.71141688920605	0.729570996231148	0.705818740567322	0.72139573991666	0.728354031253657	0.69138875772702	0.657944553087558	0.572737852618997	0.725246617413177	0.709506302337776	0.709785145287823	0.701724102331788	0.728310230666072	0.77689697825631	0.775639579165108	0.753938229798628	0.696669450358091	0.701700561863673	0.655697145397123	0.685475946382886	0.735553327377985	0.694185875520564	0.717922328126099	0.653023347924831	0.658646815764991	0.663653624949061
