TCGA_barcode	A101D	A2058	A375	C32	CJM	COLO679	COLO741	COLO783	COLO792	COLO800	COLO829	G361	HMCB	HS294T	HS600T	HS695T	HS834T	HS839T	HS852T	HS895T	HS934T	HS936T	HS939T	HS940T	HS944T	HT144	IGR1	IGR37	IPC298	K029AX	LOXIMVI	MALME3M	MDAMB435S	MELHO	MELJUSO	MEWO	RPMI7951	SH4	SKMEL1	SKMEL24	SKMEL28	SKMEL3	SKMEL30	SKMEL31	SKMEL5	UACC257	UACC62	WM115	WM1799	WM2664	WM793	WM88	WM983B
TCGA-EE-A2MT-06	0.664246551786889	0.687975601342823	0.648739517757326	0.708478560040918	0.511985413641479	0.682329656645514	0.687530289417503	0.680713288273916	0.725367971098399	0.731432973371772	0.719336575247902	0.710693111990358	0.588498958139115	0.671127694166249	0.612406736637872	0.694131322568902	0.600298864731138	0.614265249456939	0.682371516864177	0.608466060021243	0.616333227925219	0.709246186202675	0.750045609008838	0.655151113588815	0.702005576630167	0.70583262084533	0.708751764730011	0.734576983925053	0.702374182062093	0.714079948896095	0.545319203365863	0.779296351736365	0.614166874019886	0.689544044975507	0.709989429824492	0.752436383109754	0.64743952452862	0.726747197905514	0.709966205683139	0.669238938077699	0.73820969034075	0.711656498822171	0.74204652087459	0.674915331128784	0.704631216626558	0.730047901305186	0.684909614817542	0.670971615997693	0.721180884591936	0.67571171850185	0.654234738826065	0.714234402152636	0.713032011477628
TCGA-EE-A2MU-06	0.679752272544601	0.716729053060112	0.645006497442571	0.689942442073244	0.453932548527167	0.709130480209231	0.701408006904757	0.703837268873646	0.707237212038901	0.735927757546887	0.729314066806254	0.72723817901833	0.594443882511672	0.693805165606545	0.58306154722684	0.658356971127147	0.571043422124104	0.584215154721074	0.66643294953796	0.576489892502656	0.584456238938295	0.710498193057929	0.761749065337554	0.624064291870288	0.707852752089987	0.710085965248376	0.731085014277621	0.741350549452275	0.747720923618874	0.742817894387955	0.530650432881821	0.759954450477006	0.606648002124291	0.729772096816357	0.676797437610933	0.712032799808727	0.64851209513513	0.699711030806247	0.699473040472613	0.656841149702514	0.735354983157002	0.711898589271445	0.7458598093088	0.684095809960465	0.722925314776367	0.769283558007584	0.679881506078219	0.669119148217295	0.742659307871122	0.699083335104898	0.649015816299486	0.697482046768553	0.717178830560647
TCGA-EE-A3AA-06	0.674082293553845	0.700548773625007	0.63647040446032	0.737122801854773	0.534872428853734	0.698952916094619	0.6887368092011	0.717687377403342	0.722008768986464	0.755046032210777	0.728499050393777	0.689809616502423	0.592495181694783	0.673019155342591	0.631473678739439	0.658813260890085	0.626703966616468	0.627195893517478	0.686640589658694	0.626113480580937	0.633002012797947	0.689704791677936	0.753829666659119	0.673774949601375	0.692775138881984	0.706308649399858	0.686277087128636	0.7131497307002	0.7352502681497	0.700537592625026	0.549742309697381	0.74274768693803	0.639168709952892	0.687748543471803	0.675797926690754	0.712227065227523	0.664693203134812	0.719327895409875	0.727449468100014	0.699762836825295	0.730827405441326	0.712692074250682	0.740845436772343	0.711499301922341	0.684831685478393	0.740293565452287	0.697054633031115	0.696054946108886	0.745675774552813	0.719879778928449	0.657376713226825	0.711402910064063	0.734374180014887
TCGA-EE-A3AB-06	0.717789117316604	0.686056378096967	0.692670491299198	0.657308836493246	0.47002625849332	0.676152578770978	0.596558738283842	0.64786637865162	0.603884379951475	0.706519424819752	0.71098526793831	0.63432871651543	0.559311208783886	0.725769694885928	0.582101721403743	0.66644454790288	0.565478890355008	0.571158805086934	0.611334645519264	0.577817209489911	0.581296930699054	0.587271846098428	0.723294905562591	0.601213718507925	0.682337470102249	0.724191032489708	0.64578152172345	0.595412691417192	0.648944270541551	0.643829298856723	0.529358992472155	0.696268278680112	0.618846060137857	0.622229473039268	0.608278480260563	0.611765587446736	0.652743487659586	0.630033751247314	0.616224820666706	0.706088189954547	0.627110098857228	0.586230057594849	0.629939942632896	0.72362539210722	0.638942165803105	0.650031001142893	0.683469452575768	0.685276019459041	0.698404190426075	0.684146243535797	0.651561606842233	0.706195229193414	0.653233857733316
TCGA-EE-A3AC-06	0.666754966658432	0.711962591994257	0.647704936960215	0.740673504717847	0.536949484285566	0.712279991396438	0.708267386759408	0.716262688999404	0.743773443454605	0.754845697022758	0.737713259778953	0.702496386137442	0.603618316434504	0.665582129379359	0.606219311909282	0.665183478895171	0.601293421369425	0.606343612505264	0.692756608808927	0.614330786542978	0.612773884940594	0.704815266987264	0.740643116261378	0.640077153980955	0.697997048944721	0.71073442217944	0.701808173712572	0.735996077617325	0.740826441668516	0.713943226201587	0.58963559950908	0.759364417213582	0.646042260360202	0.698349805160599	0.730157588255671	0.740768989114993	0.660461212489348	0.744037166461898	0.703261216095477	0.681752131884428	0.742874029065072	0.722135775816695	0.756973861091736	0.681003878106166	0.712452419264729	0.749024423847456	0.705913669522901	0.684848715339388	0.748080810927246	0.71008869636434	0.656031990798055	0.714783765706714	0.753861850343534
TCGA-EE-A3AD-06	0.637732006582023	0.663347781915437	0.601607845143955	0.677894684557768	0.523279948794587	0.67519521711315	0.672536434070894	0.693636861570005	0.707449395797698	0.712257968957282	0.725921755037245	0.691412901027852	0.543531935302132	0.645452582049936	0.600213929960659	0.616631572259504	0.590839633935867	0.598860149860639	0.636394860087738	0.601280954549005	0.605096753811922	0.685377895092384	0.724735718995087	0.628679674829102	0.658704833105524	0.670862974649592	0.684955672021477	0.706506240713732	0.706940139034428	0.693476391861254	0.523846476855495	0.766810005985606	0.596188242509888	0.693397751743706	0.632915342147654	0.695930946337257	0.647963623932646	0.705174439838732	0.712894928632972	0.646482018032762	0.724727116239583	0.679824884055388	0.72879083625368	0.66816539778802	0.675718164863482	0.743346300243449	0.66278422742987	0.636274670268069	0.726347479921855	0.698999844064352	0.606493634902727	0.694603549615149	0.698072769452206
TCGA-EE-A3AF-06	0.652916543364976	0.668223184252168	0.63588882624268	0.688348988926447	0.475345071955043	0.664521503732269	0.71727524896778	0.706014695383251	0.723282260840084	0.709412908267907	0.71974349725957	0.706568142270527	0.588574065789759	0.668241263977955	0.606340472607873	0.673189440271603	0.600117873515671	0.611259939413991	0.665734903605776	0.601050298846412	0.615680225568781	0.685991279689506	0.741141337049886	0.640867648338696	0.674701090726763	0.699095784695305	0.715833320876131	0.727141938800806	0.701960082441726	0.735941605526513	0.54617137425523	0.757066931412731	0.621977787514228	0.719022157061002	0.681203122425445	0.709709503617589	0.659949640109441	0.713051860209929	0.685029848229378	0.641448033095339	0.715022406091178	0.717074225050511	0.722373221965647	0.683581449480248	0.717993054960698	0.74809396069783	0.683082485246493	0.661019435134925	0.717429014727763	0.691473585573966	0.633209996459734	0.689477432667609	0.696710748864286
TCGA-EE-A3AG-06	0.71651699365438	0.705617933637261	0.722194802512647	0.638163538915489	0.496329349942317	0.665524433521011	0.605220978391159	0.64445108784444	0.610788821736105	0.700205389172359	0.69663304235951	0.658007001016895	0.597306818888575	0.7308901859747	0.594482476487397	0.694789367805997	0.582108977856273	0.596581472065792	0.588670196892104	0.595618056367826	0.604261078771492	0.587907771653198	0.724474924763004	0.627868864701318	0.707087005519477	0.734843483555152	0.639788688472388	0.5964563969072	0.654817430773932	0.641900350231594	0.537958111065017	0.680732632222936	0.611157647385373	0.621584222172261	0.629244106816714	0.637719873790021	0.658451092964372	0.615297060062921	0.642708213819656	0.687478644185739	0.649395297253369	0.596513175694071	0.628880520820634	0.683313899802208	0.658494929187305	0.646434301708788	0.68543643926186	0.682316551684735	0.696826065697741	0.667853873687429	0.672563661383798	0.704309888116047	0.665957997866765
TCGA-EE-A3AH-06	0.647051197179064	0.671463783564323	0.604108160020966	0.67450335437461	0.448742148315076	0.655984426903143	0.614318974982301	0.680014616598982	0.644376501348624	0.721489456625757	0.710843071538457	0.629967056931079	0.552658495928197	0.655918602221877	0.586563263037507	0.601202521429933	0.57675952256631	0.58610968574869	0.621171759431906	0.582069856898616	0.586814455717278	0.602603543139374	0.693331624938831	0.621063616234999	0.639731500587556	0.669743300825668	0.634338403726288	0.639854115371799	0.677767102779313	0.668834776892228	0.499237309884803	0.705927467755992	0.589366061855231	0.645253391060842	0.601101998821659	0.624953641708459	0.626794496059181	0.637614791519465	0.666468240403358	0.676504330651969	0.661879496542087	0.612765130341768	0.65630732527539	0.693898535524033	0.626757976596746	0.693197562367918	0.675220319170034	0.656739540455296	0.730220806351003	0.721806798628974	0.587822040499983	0.65811481962281	0.65968777491549
TCGA-EE-A3J3-06	0.681729883049362	0.696019899818362	0.653883766886628	0.699572238005887	0.459261994438642	0.70875047843977	0.68369891387832	0.701244842068039	0.694966086740016	0.738450200882603	0.747468681102354	0.698541206372298	0.591523310486388	0.698752168031069	0.616354003652282	0.677692890129003	0.60178629556143	0.609283092022035	0.670996423305951	0.598441224784316	0.616652502422197	0.682686016810079	0.757320353232001	0.660503550002911	0.68681608612164	0.726666375950505	0.694498590938054	0.692931790116985	0.710641538415987	0.724395415105665	0.528451584480538	0.735411996467981	0.616825580848806	0.696851096245754	0.651587205825316	0.687295063177851	0.651978251756648	0.686302243034512	0.706938240647155	0.684913817324505	0.69948145859705	0.680159539902338	0.700201276630455	0.717698467678797	0.69309828188907	0.748806698241219	0.706663663267417	0.692292132709962	0.74331367683644	0.714714054545793	0.653604499995176	0.716237341984065	0.691140751353046
