TCGA_barcode	8305C	8505C	BCPAP	BHT101	CAL62	FTC133	FTC238	ML1	SW579	TT	TT2609C02
TCGA-DO-A1K0-01	0.578933484364183	0.580490386910147	0.60020608377476	0.569240394597926	0.550049594418563	0.586391365289056	0.563839580165894	0.666141830256452	0.567655139072303	0.482778700717832	0.577305917945202
TCGA-DO-A2HM-01	0.571299876801697	0.576187178261192	0.593093965434615	0.567701153997763	0.550609170454396	0.569351453365222	0.555266050808122	0.650358624321334	0.561994429184964	0.465449952256438	0.57219800929779
TCGA-E3-A3DY-01	0.559013360034482	0.558223076902931	0.574502658353176	0.548330363338243	0.532392646553412	0.564388343788538	0.540497761966471	0.643521847082759	0.543509365113171	0.475229306766843	0.55552656206964
TCGA-E3-A3DZ-01	0.543009468779956	0.545094399467916	0.560174265969479	0.519813476981344	0.539671896541532	0.544163863613395	0.540109982894072	0.648211962360795	0.552566083799919	0.495388041349597	0.539177336286841
TCGA-E3-A3E0-01	0.550737174222078	0.547090673847252	0.569795471857948	0.530750284680648	0.519314303946233	0.557166160919561	0.534176869415484	0.650727407954883	0.53571931634277	0.482840420792041	0.54539951355342
TCGA-E3-A3E1-01	0.567225654937266	0.569645998161529	0.579714750298167	0.550579236030658	0.529062013630299	0.589057618261027	0.555430853090026	0.662187340462086	0.55640425054442	0.478200531391867	0.566396163114767
TCGA-E3-A3E2-01	0.563745987800055	0.555327689753119	0.574948775417246	0.548145269344972	0.534656179248249	0.561359501346536	0.54309994317959	0.656527344426302	0.551759955825921	0.479604386560285	0.548409909930072
TCGA-E3-A3E3-01	0.57897310210353	0.573586805130385	0.595108394467936	0.561304865726134	0.537006012496623	0.592390462330579	0.56024157255881	0.665240334362816	0.561995033585479	0.479830138834638	0.568330161290075
TCGA-E3-A3E5-01	0.554446154808262	0.552827284725807	0.573598740802302	0.53816600739919	0.529385730203114	0.555000572907582	0.527552853487964	0.652262740367923	0.543365602505593	0.460053344893408	0.556267332547786
TCGA-E8-A242-01	0.60735609078444	0.597876892535197	0.619975743499225	0.580813532740215	0.544445582585593	0.614781113217892	0.579823049142559	0.675646838005638	0.587134341314792	0.473474535011463	0.592597034439674
TCGA-E8-A3X7-01	0.560693350514908	0.557125478940264	0.585021060861379	0.546762701464713	0.524846022115999	0.573573923324528	0.542691486209378	0.643513412507502	0.553451470312223	0.454002285352703	0.552159317046042
TCGA-E8-A413-01	0.602912950165665	0.589548736302699	0.609456370285906	0.56861274444207	0.557922825255531	0.599533945215905	0.580784864301618	0.691040991535367	0.602122178275658	0.493643448376929	0.584490461378849
TCGA-E8-A414-01	0.601934510710577	0.589524778625485	0.613512240780904	0.56556706377162	0.558774919652278	0.600233262318672	0.582598282191808	0.694816492539151	0.60047952532326	0.500285495015575	0.585766665366858
TCGA-E8-A417-01	0.557367613930527	0.565127671947737	0.591760701451814	0.56428562856408	0.549432678278069	0.567363745204729	0.545307518200785	0.63776727728807	0.539664738144022	0.455354275372579	0.553847124715184
TCGA-E8-A418-01	0.583915559501786	0.584625167803418	0.610289062246751	0.586246356518173	0.562044617728437	0.609509076304036	0.57922421888646	0.658332948127131	0.553689913551476	0.46458492015156	0.58543674369082
TCGA-E8-A419-01	0.595343490303528	0.598351651204822	0.622839585757067	0.591812234754795	0.578651097678943	0.600398814659468	0.580459150013341	0.685010398846684	0.576991005168604	0.479630567837941	0.592444756121029
TCGA-E8-A432-01	0.574124397182616	0.558481364516672	0.58397333320091	0.529740191452773	0.529569637755508	0.586657731153023	0.556016010462275	0.657612669237965	0.577440860698274	0.490327517834478	0.559532024034842
TCGA-E8-A434-01	0.561450525645237	0.556670615067911	0.577837705069326	0.541789657768537	0.53588643996673	0.562504838930782	0.550296382851232	0.663415850208885	0.556040067669989	0.480290618122808	0.54657375582772
TCGA-E8-A437-01	0.565396375090992	0.563029947739272	0.589864578719459	0.554025983205432	0.545186705346334	0.566739593928237	0.5565989268067	0.668018523395158	0.563793694950888	0.469461927124197	0.5525572237166
TCGA-E8-A438-01	0.538519035515511	0.53627095268715	0.567931679997966	0.526808270690109	0.522127716841945	0.544443583631989	0.520668599910148	0.637243542025522	0.545350974878239	0.450640015496534	0.534556687990366
TCGA-E8-A44K-01	0.593051332272828	0.588266846512101	0.611419509129917	0.581498199721252	0.54714336148633	0.600438964134406	0.571179378823839	0.66644839784307	0.581093424222689	0.462221672777758	0.579250443481319
TCGA-EL-A3CL-01	0.571812746147349	0.564438299987126	0.592667717738537	0.557837167514356	0.536498643300963	0.571788721017202	0.558371234070744	0.67549200020946	0.5557209348224	0.480778709441417	0.559511935453832
TCGA-EL-A3CM-01	0.590704674233992	0.580149621014024	0.604202491533833	0.563212977974806	0.543549501468076	0.595929972304093	0.565975517981108	0.672861297514225	0.587804362773655	0.481137673232434	0.575288234917853
TCGA-EL-A3CN-01	0.600677626976019	0.58856844246978	0.611959746411438	0.577994890949863	0.543301995653667	0.603558307151801	0.5741916432372	0.683222050300541	0.575805140057763	0.486470348938766	0.589028744034514
TCGA-EL-A3CO-01	0.568572670582667	0.560721758994579	0.574261338410113	0.527342255670743	0.529197630523996	0.570313588481509	0.555630235705654	0.661160997904187	0.5683247659472	0.46889650499589	0.559907344300987
TCGA-EL-A3CP-01	0.585104692961203	0.578532181403951	0.597680461343137	0.560610332336254	0.547033868932236	0.577116254406808	0.566276424548831	0.661399472194272	0.580753097451527	0.472962667140188	0.568750247281153
TCGA-EL-A3CR-01	0.596909586542249	0.581536147195873	0.612155273641945	0.570266478245686	0.543435459135673	0.592460373573319	0.568442773230805	0.676485757485761	0.585762497679561	0.464521341741069	0.574789681437308
TCGA-EL-A3CS-01	0.596162306273629	0.581922684271692	0.60182287841381	0.562115989474914	0.540281960650874	0.601598661905544	0.57043467551304	0.673202882592813	0.586814464830041	0.478007100809242	0.577689791861402
TCGA-EL-A3CT-01	0.596501801274494	0.588167696289194	0.600282884544053	0.559475898331802	0.532101684604484	0.600639966248244	0.569223806843386	0.659629131895036	0.580015222358909	0.474932618754915	0.577460961249667
TCGA-EL-A3CU-01	0.614380499668878	0.597498836367458	0.623425904374197	0.584875749511388	0.563616068490265	0.615033020881412	0.595758640296396	0.69383927035652	0.604496410189491	0.495937532823135	0.598297358613799
TCGA-EL-A3CV-01	0.61448953788145	0.60190939710239	0.615060626954196	0.577128360253234	0.549128641343131	0.608324227389967	0.5820652214604	0.684575045864917	0.610511730720234	0.479669207287165	0.603183317582085
TCGA-EL-A3CX-01	0.517009800137989	0.505395557369659	0.523817823959991	0.488352782024766	0.489937601091636	0.525471476839464	0.503631436901237	0.593721325261356	0.514225275964471	0.440926712984452	0.514370801298136
TCGA-EL-A3CZ-01	0.506863537369123	0.501025030471876	0.522292904473655	0.478862871133719	0.484538585654858	0.510825392816082	0.496211442354257	0.607370875656136	0.506360920259033	0.455653353703045	0.494827798274787
TCGA-EL-A3D1-01	0.531568374590952	0.531325733241019	0.551125089311793	0.51437894563979	0.495909360077037	0.531567391093652	0.501437066529585	0.630270025737411	0.513413821756003	0.427473088564237	0.538964583480328
