TCGA_barcode	A3KAW	A4FUK	CI1	DB	DOHH2	HT	KARPAS422	MC116	NUDHL1	NUDUL1	OCILY19	PFEIFFER	RI1	RL	SUDHL10	SUDHL4	SUDHL5	SUDHL6	SUDHL8	TOLEDO	U937	WSUDLCL2
TCGA-FF-8061-01	0.452993003859272	0.497740279938542	0.612515563945953	0.518026477446004	0.596542833968322	0.559322419962397	0.537688414377841	0.58761980351622	0.561729709079588	0.560195583457809	0.541238164537779	0.550820017456133	0.581061898030256	0.562957611747028	0.584439953770215	0.580349828949501	0.585579118263975	0.580075966765282	0.54593453724703	0.546343060573763	0.523781996481316	0.58363030159247
TCGA-FF-8062-01	0.433803595840335	0.480971208137639	0.589011878004887	0.482863609811554	0.567680987784076	0.538623874057736	0.520520985476903	0.553183852763867	0.555925533574405	0.532914007834487	0.535734008422389	0.537749149017487	0.565774489324032	0.536836293709366	0.560970940191416	0.554935954776204	0.573054592153525	0.552470425041605	0.512989632148073	0.519558022379734	0.522031842543803	0.586259172760935
TCGA-FF-A7CQ-01	0.509689262434293	0.546898156567379	0.626166478483885	0.536620670098008	0.60966922846066	0.574626023903271	0.566567814325238	0.586848547437358	0.608515227416121	0.577162300268588	0.586583051630928	0.612108205392916	0.609039530425172	0.567848499299207	0.570812265979194	0.574509938566168	0.578687469860703	0.591341213606743	0.550300570452929	0.584295490303238	0.564554979105806	0.582422937799448
TCGA-FF-A7CR-01	0.501407304294502	0.532548199015126	0.615629740066999	0.531277474678863	0.600530973189704	0.561828867537276	0.560388681399405	0.57708285084521	0.600222295208428	0.57956905184787	0.5693952499079	0.597586007419881	0.596420424730426	0.559877536317103	0.566576861654893	0.559948470676532	0.57526556099476	0.586407167948455	0.543983025486191	0.581801646860038	0.565151735869078	0.580731497669041
TCGA-FF-A7CW-01	0.482899415049943	0.521849441570438	0.610722056495614	0.534214426681116	0.609990616353063	0.573155847299358	0.559943430646208	0.595194312290334	0.616275371922471	0.598596288223022	0.597439722439575	0.615644911436934	0.643521452013961	0.573678944637772	0.575577772471027	0.579094782122095	0.575226185411898	0.593662197661122	0.553312562376572	0.588785509251511	0.565600905345484	0.590528388018415
TCGA-FF-A7CX-01	0.51459282327762	0.548855445316409	0.665254293938861	0.589959264482459	0.655843453085325	0.627706764449122	0.619991559945776	0.650589818343011	0.648881521695805	0.646031377106768	0.627897233056113	0.628013438913136	0.672135455082887	0.625109315271655	0.627348029781429	0.647440540007849	0.624008811590593	0.65267820585447	0.613799108941073	0.637856964389735	0.565562811685718	0.623219900241657
TCGA-FM-8000-01	0.467950918040555	0.503943912977471	0.60627882939872	0.54534221529587	0.610179317747516	0.571178469193918	0.563627742416328	0.584399333093543	0.579293147315368	0.561620221918251	0.566922547088791	0.57782391494625	0.593422099065139	0.564133836031852	0.592759068708731	0.596543275123779	0.580454057659212	0.593858324135027	0.544375475044924	0.557768482847049	0.542670528725025	0.608904443791151
TCGA-G8-6324-01	0.457324438681072	0.508424344630258	0.572291989035934	0.499776077928864	0.571570376034537	0.528313431049718	0.516620621681329	0.552211631320039	0.570209926659607	0.553905708317724	0.55745147135328	0.555374228424306	0.587032789277094	0.524626469838219	0.532958503541609	0.543899236049576	0.532826435887213	0.548670713237785	0.517454053369274	0.548123247110689	0.526339818479958	0.55957894408837
TCGA-G8-6325-01	0.421432744106385	0.471201717529373	0.545582861248224	0.459350928317935	0.533366344540367	0.49093390852074	0.483072949628571	0.526573947027401	0.530021466369327	0.500280070987808	0.511063682013918	0.535299570808338	0.540517126061096	0.501025929744176	0.519492902887101	0.512167055643221	0.515427609220975	0.518156137887893	0.475229432608936	0.49285937084694	0.52146516174441	0.538331495856254
TCGA-G8-6326-01	0.433042960541643	0.48502452493804	0.523419675849516	0.450096992381488	0.512805748894407	0.484006414026254	0.481616125680293	0.507842744697779	0.516152677185393	0.486910919469874	0.496536805064647	0.516895786950779	0.513522097715581	0.485367725837849	0.496124067323717	0.492747868217397	0.500150263611114	0.49137166844484	0.4631488452222	0.480234680895937	0.525238879421267	0.527143978061787
TCGA-G8-6906-01	0.468338339103945	0.518538229339964	0.619442903446575	0.546229609158781	0.627302170472226	0.588820235380352	0.57736983973281	0.600220256739858	0.604399979442357	0.579522072138581	0.592584211137155	0.591707454855846	0.615916880568388	0.585108492066257	0.597171191521295	0.601682766104646	0.59915999498483	0.598152075255361	0.561423822164095	0.57790677261045	0.548771137243641	0.608642960986279
TCGA-G8-6907-01	0.444514030188868	0.486505870044544	0.589971277184865	0.561729808491234	0.610532728629096	0.579382048882398	0.571900044272754	0.582054777463819	0.570383355335314	0.557368104735429	0.567082347827197	0.578445985208065	0.60615807682445	0.581201850805257	0.592156100438651	0.606589698507143	0.569177545349412	0.590316989729072	0.532957740731259	0.560351974549587	0.526036042941452	0.607412811481189
