TCGA_barcode	AML193	EOL1	F36P	GDM1	HEL	HEL9217	HL60	KASUMI1	KASUMI6	KG1	M07E	ME1	MOLM13	MOLM16	MONOMAC1	MONOMAC6	MV411	NB4	NOMO1	OCIAML2	OCIAML3	OCIAML5	OCIM1	P31FUJ	PL21	SIGM5	SKM1	TF1	THP1
TCGA-AB-2846-03	0.682741768124736	0.680431599502968	0.577307228190591	0.692753282787882	0.56263282474781	0.570338044551087	0.689310792951312	0.657557531155971	0.691248155301129	0.69160285802824	0.603785576353211	0.709697966122129	0.663032323819752	0.584989142474666	0.689198973636721	0.659635517212146	0.664877175731112	0.662282066007125	0.682553968302658	0.702737749181295	0.627852878388608	0.680441449735877	0.534130468896884	0.658385909101034	0.682801512450378	0.690218028664386	0.638110342566621	0.58493648517858	0.62921019753544
TCGA-AB-2847-03	0.672782354151175	0.681773006801567	0.648045416896256	0.74213506618458	0.628742782588988	0.641347944347548	0.64745722816282	0.669766646469057	0.710151887540333	0.743486047712475	0.64401492751201	0.694193866958824	0.656975519920121	0.651458645499199	0.667137480160802	0.654126357384155	0.652325686808314	0.64587178390539	0.673879411938665	0.651033415563298	0.624056953343183	0.691761691668584	0.585729693136288	0.646933034362452	0.633952072317753	0.661493473427271	0.674863305915364	0.655576570666401	0.630979270212594
TCGA-AB-2849-03	0.652037641926729	0.61671365608876	0.59916839299818	0.692932799258992	0.588001769145677	0.611075460289066	0.603086899285502	0.638253183761233	0.666646286750685	0.692597439239933	0.613881075128407	0.650775122031585	0.584134399009089	0.600017099355932	0.594159709623254	0.601924658458344	0.570379977322736	0.601942260492603	0.599930288190156	0.59603566992698	0.560602141620317	0.626275646223729	0.546466645290046	0.628263769378262	0.590058106514333	0.592409197488083	0.614093576505468	0.594968215392174	0.573520087931344
TCGA-AB-2851-03	0.673345374752458	0.694997807057915	0.557518660802933	0.683693183813657	0.54635555672161	0.553487274238672	0.662089964806899	0.61928575950806	0.707869671649066	0.689115524158694	0.576835844482589	0.652681270693004	0.677654544748794	0.558379329053108	0.709270623846667	0.672719483924471	0.677831771068034	0.646313302772485	0.708027447229382	0.711650709744024	0.649348051810413	0.678490277745637	0.518557458334754	0.673896641637992	0.676124209826144	0.679513180521692	0.628247113893363	0.564792930460057	0.633380943898379
TCGA-AB-2853-03	0.664949127509938	0.676113415560589	0.565731227841004	0.6801456284687	0.572422862187707	0.59022442622133	0.663741487875531	0.64394130155775	0.743776087151374	0.702289777647848	0.591114664722	0.653420809503217	0.671058905677563	0.581266971637268	0.688663800257417	0.66463495361583	0.65091195284969	0.64606121291862	0.672284865652713	0.696116563608343	0.600851694123007	0.677079845376607	0.542353160540561	0.645467339047629	0.653385971260755	0.656388018407966	0.624424475041825	0.577432885569995	0.626992003931355
TCGA-AB-2856-03	0.712079565869881	0.731928018268928	0.598248316670104	0.704871235258805	0.586944922376576	0.59401641958199	0.701127456475073	0.656830563082348	0.735615064739225	0.710714614850513	0.608589372400824	0.69295501504875	0.708097936955504	0.593167113988499	0.733645447471233	0.692962304827666	0.712379598870951	0.67722153119265	0.720489296206258	0.72629434403542	0.665674342250396	0.711105223151246	0.546717839386016	0.702904785560835	0.708531774850474	0.708028801946494	0.663994456657958	0.607752116093758	0.656770514500663
TCGA-AB-2857-03	0.676901046760985	0.635757518823794	0.670574184765322	0.681915808221399	0.666892611365146	0.679618575377697	0.668224998272473	0.645563424707285	0.68467420040346	0.727424683235832	0.668413821794625	0.659978686613702	0.61769146362308	0.663083194459886	0.634283348113664	0.620047713670849	0.589170206742742	0.629816097078695	0.624131980830672	0.632741406783455	0.59028370383925	0.663573545581944	0.628006389463481	0.61923421052532	0.619973975201974	0.639503619048956	0.63267760644658	0.657522248715081	0.602299410551586
TCGA-AB-2858-03	0.664372601755228	0.649329145651395	0.596007741235853	0.671658098785712	0.575620542805245	0.577787407765231	0.647478924431185	0.684651292054318	0.702608995558589	0.703615007479633	0.616385313471656	0.682167717652352	0.627799908768765	0.611999820727019	0.640647665329112	0.62936295796806	0.621465480010005	0.637765075028752	0.630783212332188	0.633802830563607	0.575371051575811	0.665087235638373	0.548588295738593	0.615354767122262	0.627387586004984	0.643029495164835	0.607211345159067	0.588455640044106	0.58939077570482
TCGA-AB-2859-03	0.662407792728233	0.652962407422146	0.603509690672057	0.708983838479685	0.620627305994966	0.635401238706216	0.642229104151003	0.637858900280252	0.730947711169867	0.720394197097049	0.624092973688795	0.675376715087856	0.636184669496451	0.609575419891108	0.648648647218442	0.632740248647222	0.618726329636484	0.62500926113085	0.652139277654914	0.649947056254997	0.592327305032225	0.660528209853349	0.556721380081289	0.631142882931982	0.624148634416743	0.634644304509048	0.616289872918986	0.611470582447655	0.606075538363025
TCGA-AB-2861-03	0.693370924771283	0.758812406753056	0.587222432637054	0.653994701361293	0.574157108913567	0.581623944788115	0.702904082414187	0.645637325081548	0.669045893808789	0.662299109474961	0.597381221389503	0.627017915326558	0.764066335463648	0.586332481903641	0.786156627761337	0.75331695218189	0.759461489068757	0.68803791930528	0.768772703225009	0.775350314177979	0.73122932473274	0.719246850607691	0.552653944039427	0.692808183383193	0.716707355732695	0.742153761869962	0.695745857670874	0.609502366519427	0.727141745037688
TCGA-AB-2862-03	0.670642644617962	0.669787564206659	0.606491006927116	0.696983142559088	0.58507187103029	0.591110318827087	0.669240629492388	0.675934239040814	0.720088547868508	0.705639711034936	0.649074049001698	0.70434181341888	0.655918775932464	0.631335187493295	0.665008802168194	0.646254534320916	0.669603659226769	0.701324203485409	0.645953868886926	0.653005341843425	0.604878958125875	0.669803965345121	0.549823840756281	0.644467046753385	0.642191919971379	0.655550709496568	0.637833229390935	0.618416883046828	0.617928097833873
TCGA-AB-2863-03	0.695773049690078	0.691404576837483	0.621184371572339	0.703636151999138	0.614848229925813	0.639031099590938	0.68905146494148	0.68763563152975	0.732821316642292	0.725833524845898	0.627635343805183	0.683223323788878	0.656861063914881	0.631290916384052	0.677685002010769	0.677986700504498	0.637343340753168	0.662083444805917	0.665870129795307	0.665619472207899	0.621717915067379	0.704998838144418	0.59734509041992	0.649809768288834	0.667562146311975	0.679018088722878	0.667094586621266	0.618037473935446	0.644295452907919
TCGA-AB-2865-03	0.653473802321599	0.648570031664836	0.581664910959803	0.714065892067418	0.576472218459893	0.584245545283496	0.623216660943306	0.629789189227283	0.685112777050864	0.715363285928466	0.595606055256115	0.699698144688884	0.617787984969211	0.580718357555665	0.641049859533349	0.617246762756047	0.619729234441291	0.613059836240481	0.653878817241333	0.644402386994635	0.598634093413925	0.662660606305077	0.519769107119385	0.644819705437889	0.628894056050006	0.644797576704222	0.619100483847562	0.592470540671755	0.593559878560293
TCGA-AB-2866-03	0.686618933161003	0.725011216352172	0.563540783411494	0.67467176917175	0.546083533476831	0.555229082983877	0.670460674549284	0.634934618166584	0.699038329794127	0.676465190070217	0.568957611863398	0.638590089314987	0.696918501068005	0.562909799251026	0.726658860174852	0.690936485388337	0.702485897238108	0.657342603929104	0.727085616208755	0.723096531071195	0.670084567921221	0.715529470589947	0.529105417927371	0.679604481157182	0.69657745078722	0.707009082502379	0.662990883337712	0.575894458532451	0.673362461951368
